epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,96.5976,1.31817,1.04843,0.96541,0.8772,0.83941,0.89111,0.55103,1.26859,0.78097,1.06734,0.00331804,0.00331804,0.00331804
2,190.63,1.34135,0.7976,0.95878,0.82961,0.81518,0.8581,0.5065,1.37687,1.11863,1.13149,0.00662719,0.00662719,0.00662719
3,281.153,1.40149,0.81504,0.97817,0.89481,0.82004,0.86236,0.48143,1.38382,0.79928,1.15498,0.00991209,0.00991209,0.00991209
4,371.296,1.3838,0.77212,0.98163,0.83342,0.7949,0.81653,0.44602,1.49396,0.74441,1.22519,0.00989091,0.00989091,0.00989091
5,461.888,1.32405,0.71617,0.97385,0.88706,0.82115,0.86277,0.4833,1.42184,0.67822,1.16077,0.00985455,0.00985455,0.00985455
6,550.748,1.26818,0.67526,0.96218,0.91958,0.83501,0.88371,0.5304,1.38326,0.62445,1.13399,0.00981818,0.00981818,0.00981818
7,639.943,1.25122,0.65525,0.95656,0.88639,0.80884,0.85668,0.50909,1.40474,0.62881,1.16657,0.00978182,0.00978182,0.00978182
8,731.231,1.21991,0.64202,0.9481,0.90029,0.82783,0.88956,0.55603,1.36282,0.63883,1.14026,0.00974545,0.00974545,0.00974545
9,822.257,1.19174,0.61771,0.94218,0.90578,0.84256,0.88232,0.54432,1.35684,0.59451,1.1507,0.00970909,0.00970909,0.00970909
10,913.289,1.18434,0.61208,0.93939,0.8675,0.84471,0.86565,0.54072,1.35525,0.58829,1.12656,0.00967273,0.00967273,0.00967273
11,1003.62,1.16547,0.59694,0.93488,0.9182,0.83038,0.89408,0.55809,1.30455,0.56934,1.10329,0.00963636,0.00963636,0.00963636
12,1094.05,1.14605,0.58683,0.93336,0.91033,0.87457,0.91128,0.58584,1.31309,0.55671,1.12942,0.0096,0.0096,0.0096
13,1184.96,1.12945,0.58008,0.93204,0.88446,0.84134,0.88967,0.52126,1.43097,0.59867,1.17474,0.00956364,0.00956364,0.00956364
14,1276.03,1.13955,0.5837,0.92688,0.90441,0.80834,0.86894,0.51761,1.38336,0.59322,1.15354,0.00952727,0.00952727,0.00952727
15,1366.13,1.12446,0.57476,0.92378,0.89501,0.86831,0.91422,0.55226,1.4097,0.5674,1.1768,0.00949091,0.00949091,0.00949091
16,1455.68,1.11798,0.56787,0.92634,0.89061,0.85613,0.89018,0.53089,1.41701,0.57923,1.16068,0.00945455,0.00945455,0.00945455
17,1546.37,1.10903,0.56053,0.92293,0.91471,0.87954,0.91182,0.57382,1.37142,0.56392,1.14792,0.00941818,0.00941818,0.00941818
18,1636.18,1.09703,0.5503,0.91774,0.91624,0.85823,0.90488,0.5715,1.36843,0.55271,1.15626,0.00938182,0.00938182,0.00938182
19,1725.68,1.09458,0.54668,0.91733,0.89355,0.87651,0.90917,0.56354,1.38022,0.57054,1.14125,0.00934545,0.00934545,0.00934545
20,1812.84,1.08649,0.54225,0.9156,0.91425,0.86848,0.90988,0.57002,1.38285,0.55986,1.16692,0.00930909,0.00930909,0.00930909
21,1900.53,1.07438,0.53645,0.91396,0.90473,0.8843,0.91154,0.58255,1.27751,0.52422,1.11431,0.00927273,0.00927273,0.00927273
22,1987.87,1.08312,0.54064,0.91882,0.90575,0.85594,0.90091,0.57344,1.32726,0.53624,1.14265,0.00923636,0.00923636,0.00923636
23,2074.99,1.07369,0.53553,0.91209,0.93242,0.85241,0.91273,0.58281,1.36111,0.54472,1.14475,0.0092,0.0092,0.0092
24,2162.54,1.06598,0.52653,0.91298,0.9045,0.85562,0.89677,0.57213,1.38585,0.55082,1.14301,0.00916364,0.00916364,0.00916364
25,2249.67,1.05436,0.52175,0.90998,0.91288,0.86252,0.91381,0.58819,1.35444,0.53809,1.16365,0.00912727,0.00912727,0.00912727
26,2337.1,1.05233,0.52268,0.90767,0.93781,0.86879,0.91962,0.56262,1.37387,0.54719,1.1514,0.00909091,0.00909091,0.00909091
27,2424.11,1.05059,0.51894,0.90545,0.91776,0.86268,0.90384,0.58534,1.33786,0.51923,1.15628,0.00905455,0.00905455,0.00905455
28,2511.35,1.0431,0.51733,0.90421,0.93453,0.83721,0.90104,0.56553,1.41868,0.54683,1.21107,0.00901818,0.00901818,0.00901818
29,2598.63,1.05677,0.51818,0.90886,0.92854,0.84155,0.89569,0.56866,1.42235,0.54218,1.18887,0.00898182,0.00898182,0.00898182
30,2686.01,1.03895,0.5136,0.90385,0.92829,0.86275,0.91122,0.58465,1.3504,0.53564,1.14601,0.00894545,0.00894545,0.00894545
31,2773.59,1.03762,0.51253,0.90063,0.92535,0.88155,0.92037,0.59381,1.33922,0.52253,1.14886,0.00890909,0.00890909,0.00890909
32,2861.29,1.02855,0.50955,0.90076,0.91887,0.85987,0.91012,0.58181,1.33042,0.52069,1.14239,0.00887273,0.00887273,0.00887273
33,2948.92,1.02783,0.50561,0.89712,0.91731,0.85321,0.91177,0.58259,1.459,0.54269,1.21117,0.00883636,0.00883636,0.00883636
