epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,92.7392,1.30575,1.05794,0.96448,0.79307,0.77143,0.84162,0.52258,1.28868,0.65832,1.07398,0.00331804,0.00331804,0.00331804
2,182.317,1.33761,0.78055,0.95552,0.92369,0.83964,0.90117,0.5542,1.33938,0.64635,1.1013,0.00662568,0.00662568,0.00662568
3,269.049,1.40395,0.823,0.97588,0.71819,0.77861,0.80616,0.47048,1.39338,0.76715,1.16245,0.00990755,0.00990755,0.00990755
4,355.149,1.38566,0.77995,0.9824,0.85816,0.81099,0.86469,0.49133,1.46679,0.73598,1.14789,0.00988409,0.00988409,0.00988409
5,441.063,1.31841,0.71493,0.96755,0.87765,0.83717,0.86201,0.51854,1.32736,0.62673,1.1304,0.00984545,0.00984545,0.00984545
6,526.848,1.27744,0.6819,0.96026,0.86658,0.82399,0.85451,0.50625,1.38906,0.64003,1.16012,0.00980682,0.00980682,0.00980682
7,612.826,1.24303,0.65622,0.95506,0.91144,0.83368,0.88564,0.55639,1.29756,0.59251,1.11768,0.00976818,0.00976818,0.00976818
8,698.673,1.23514,0.64286,0.94809,0.89564,0.83544,0.87563,0.5107,1.37903,0.64146,1.13625,0.00972955,0.00972955,0.00972955
9,784.841,1.21196,0.63077,0.94198,0.93769,0.83209,0.88867,0.54995,1.29122,0.56847,1.11308,0.00969091,0.00969091,0.00969091
10,870.79,1.18469,0.61501,0.93803,0.90752,0.81309,0.87837,0.55288,1.33049,0.60721,1.11989,0.00965227,0.00965227,0.00965227
11,956.788,1.17801,0.6039,0.93344,0.85714,0.84282,0.87839,0.54082,1.35886,0.59349,1.1502,0.00961364,0.00961364,0.00961364
12,1042.83,1.14869,0.59143,0.9311,0.89658,0.82167,0.87528,0.53452,1.39449,0.59366,1.14492,0.009575,0.009575,0.009575
13,1128.7,1.15387,0.59013,0.92384,0.89323,0.81937,0.87518,0.5166,1.44637,0.6028,1.15859,0.00953636,0.00953636,0.00953636
14,1214.6,1.13656,0.57906,0.92557,0.86132,0.84177,0.86922,0.5304,1.39352,0.59473,1.16053,0.00949773,0.00949773,0.00949773
15,1300.76,1.13153,0.57236,0.9213,0.91026,0.85472,0.90232,0.58057,1.32709,0.55422,1.13373,0.00945909,0.00945909,0.00945909
16,1387.01,1.11233,0.56717,0.91764,0.91618,0.85149,0.89866,0.54043,1.37394,0.57006,1.14607,0.00942045,0.00942045,0.00942045
17,1473.07,1.11357,0.56309,0.92185,0.90471,0.85002,0.8993,0.57519,1.32346,0.54903,1.1303,0.00938182,0.00938182,0.00938182
18,1559.19,1.10362,0.55557,0.91851,0.87223,0.85362,0.89082,0.56292,1.30043,0.54997,1.11987,0.00934318,0.00934318,0.00934318
19,1645.3,1.09813,0.553,0.91185,0.91079,0.82593,0.87929,0.55296,1.36014,0.55893,1.14758,0.00930455,0.00930455,0.00930455
20,1731.09,1.07768,0.54694,0.91343,0.93915,0.84384,0.89799,0.55884,1.38528,0.56096,1.1783,0.00926591,0.00926591,0.00926591
21,1816.91,1.08317,0.54194,0.91263,0.90012,0.87926,0.91037,0.56655,1.35047,0.56706,1.13958,0.00922727,0.00922727,0.00922727
22,1904.36,1.07508,0.53911,0.90983,0.87429,0.84968,0.89203,0.56387,1.37626,0.55141,1.175,0.00918864,0.00918864,0.00918864
