epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,325.286,1.32242,1.19455,0.96928,0.80576,0.73693,0.82908,0.50935,1.24925,0.75995,1.07127,0.00330275,0.00330275,0.00330275
2,482.077,1.34071,0.78661,0.95939,0.86133,0.88159,0.89981,0.54065,1.2386,0.83831,1.0852,0.00661195,0.00661195,0.00661195
3,904.424,1.41593,0.82007,0.97404,0.81121,0.79853,0.82122,0.42313,1.50649,1.22348,1.22583,0.00989691,0.00989691,0.00989691
4,1097.31,1.39055,0.7764,0.97636,0.58719,0.59554,0.62993,0.36171,1.40708,1.17352,1.24474,0.00989091,0.00989091,0.00989091
5,1513.92,1.3337,0.71551,0.96533,0.8494,0.79991,0.84789,0.51515,1.30167,0.72737,1.13654,0.00985455,0.00985455,0.00985455
6,1842.78,1.26521,0.67517,0.95292,0.88154,0.8259,0.86982,0.51858,1.31115,0.60506,1.13982,0.00981818,0.00981818,0.00981818
7,2009.21,1.24239,0.65124,0.95262,0.90374,0.84062,0.89496,0.5568,1.33151,0.60975,1.12388,0.00978182,0.00978182,0.00978182
8,2187.67,1.21919,0.63763,0.94345,0.83701,0.67035,0.762,0.47382,1.30382,0.7457,1.14825,0.00974545,0.00974545,0.00974545
9,2640,1.20271,0.61772,0.94195,0.8814,0.81992,0.88123,0.55665,1.30002,0.58321,1.13579,0.00970909,0.00970909,0.00970909
10,3031.77,1.17762,0.61361,0.9389,0.85518,0.60661,0.73711,0.47754,1.3828,0.69142,1.17,0.00967273,0.00967273,0.00967273
11,3207.01,1.1619,0.59927,0.92962,0.87528,0.83571,0.87415,0.5172,1.3966,0.59793,1.17697,0.00963636,0.00963636,0.00963636
12,3385.31,1.15376,0.58878,0.92724,0.91104,0.84659,0.89804,0.56026,1.34684,0.57471,1.15127,0.0096,0.0096,0.0096
13,3812.41,1.13374,0.5819,0.92788,0.88663,0.80866,0.88161,0.55924,1.2919,0.56704,1.13699,0.00956364,0.00956364,0.00956364
14,4067.1,1.13836,0.58177,0.92373,0.87255,0.85612,0.8837,0.52125,1.40507,0.59193,1.17216,0.00952727,0.00952727,0.00952727
15,4226.37,1.11862,0.56887,0.92353,0.91421,0.84942,0.90706,0.56323,1.38434,0.56313,1.17021,0.00949091,0.00949091,0.00949091
16,4448.75,1.12548,0.56778,0.92383,0.92628,0.86965,0.90878,0.5873,1.26485,0.54091,1.1088,0.00945455,0.00945455,0.00945455
17,4671.13,1.09803,0.55956,0.91808,0.91031,0.86926,0.91041,0.54457,1.38102,0.57867,1.16702,0.00941818,0.00941818,0.00941818
18,4894.24,1.08759,0.54926,0.91385,0.90003,0.8527,0.91093,0.58335,1.33058,0.53834,1.15958,0.00938182,0.00938182,0.00938182
19,5119.85,1.0916,0.54938,0.91755,0.898,0.83521,0.87578,0.52666,1.41307,0.55408,1.18205,0.00934545,0.00934545,0.00934545
20,5346.72,1.07893,0.54163,0.91253,0.91182,0.85458,0.90589,0.5512,1.44289,0.58052,1.21411,0.00930909,0.00930909,0.00930909
21,5502.42,1.0718,0.53326,0.91015,0.85941,0.87256,0.89599,0.52771,1.4377,0.57422,1.19486,0.00927273,0.00927273,0.00927273
22,5667.57,1.07961,0.54183,0.90867,0.88643,0.86074,0.89025,0.53695,1.39836,0.55952,1.17531,0.00923636,0.00923636,0.00923636
23,6124.66,1.06742,0.52989,0.90941,0.92722,0.85286,0.91044,0.57627,1.30119,0.53112,1.13149,0.0092,0.0092,0.0092
24,6339.91,1.051,0.52624,0.90763,0.93633,0.85083,0.90882,0.55543,1.43189,0.55543,1.17171,0.00916364,0.00916364,0.00916364
25,6491.7,1.05155,0.52132,0.90538,0.89151,0.85934,0.8915,0.55583,1.3538,0.55265,1.13285,0.00912727,0.00912727,0.00912727
26,6712.64,1.05251,0.52371,0.90496,0.92048,0.86844,0.9062,0.56368,1.3428,0.53678,1.13415,0.00909091,0.00909091,0.00909091
27,6872.82,1.04751,0.51821,0.90146,0.91355,0.85832,0.90681,0.57937,1.32403,0.52862,1.1573,0.00905455,0.00905455,0.00905455
28,7073.81,1.03658,0.516,0.9037,0.90426,0.87107,0.91271,0.58434,1.30751,0.52046,1.13851,0.00901818,0.00901818,0.00901818
29,7246.26,1.03525,0.51607,0.90029,0.90875,0.88727,0.91618,0.55426,1.42631,0.55474,1.19744,0.00898182,0.00898182,0.00898182
30,7494.43,1.02538,0.50602,0.89838,0.91026,0.88914,0.92091,0.59219,1.28865,0.50337,1.11946,0.00894545,0.00894545,0.00894545
31,7727.79,1.03031,0.50576,0.89946,0.91858,0.86836,0.91063,0.58353,1.27889,0.51563,1.12995,0.00890909,0.00890909,0.00890909
32,7960.76,1.019,0.50306,0.89728,0.9217,0.84882,0.9032,0.57727,1.38081,0.52415,1.17946,0.00887273,0.00887273,0.00887273
33,8403.4,1.02849,0.50359,0.89437,0.9126,0.83751,0.8916,0.56458,1.3672,0.52926,1.14655,0.00883636,0.00883636,0.00883636
34,8618.13,1.01142,0.49931,0.89499,0.93246,0.83802,0.90932,0.58428,1.36341,0.52711,1.16896,0.0088,0.0088,0.0088
35,8961.25,0.99993,0.49523,0.89379,0.91913,0.86303,0.91236,0.5836,1.34755,0.51595,1.15991,0.00876364,0.00876364,0.00876364
36,9531.57,1.00919,0.49507,0.89387,0.93381,0.87166,0.91234,0.5861,1.32818,0.5079,1.15375,0.00872727,0.00872727,0.00872727
37,10103.8,0.99042,0.4874,0.89019,0.90437,0.83559,0.88697,0.57475,1.35305,0.52847,1.18246,0.00869091,0.00869091,0.00869091
38,10334.6,1.00466,0.4898,0.89106,0.913,0.86845,0.90715,0.59313,1.31401,0.51045,1.13064,0.00865455,0.00865455,0.00865455
39,10514.1,0.98653,0.48505,0.88911,0.84647,0.77204,0.86061,0.53969,1.389,0.56777,1.21403,0.00861818,0.00861818,0.00861818
40,10693.5,0.99155,0.48328,0.88673,0.9116,0.8511,0.90299,0.57148,1.37439,0.52225,1.17977,0.00858182,0.00858182,0.00858182
41,11217.8,0.99836,0.48908,0.88794,0.91718,0.87229,0.91231,0.58155,1.36667,0.5243,1.19913,0.00854545,0.00854545,0.00854545
42,11445.1,0.98129,0.48018,0.88703,0.92149,0.86548,0.91778,0.57166,1.4014,0.51759,1.20394,0.00850909,0.00850909,0.00850909
43,11910.5,0.97602,0.47598,0.88897,0.89313,0.86421,0.90259,0.59065,1.32693,0.51695,1.16766,0.00847273,0.00847273,0.00847273
44,12146.4,0.9763,0.47723,0.88589,0.91002,0.86405,0.9046,0.5821,1.40915,0.52462,1.21094,0.00843636,0.00843636,0.00843636
45,12723.2,0.98344,0.47992,0.88529,0.92955,0.87465,0.9212,0.61734,1.26845,0.48406,1.12753,0.0084,0.0084,0.0084
46,12892.3,0.96666,0.47079,0.88285,0.92365,0.84605,0.90145,0.57431,1.40511,0.52443,1.21155,0.00836364,0.00836364,0.00836364
47,13358.4,0.96231,0.46873,0.88258,0.91197,0.86171,0.89969,0.57543,1.3983,0.52922,1.21027,0.00832727,0.00832727,0.00832727
48,13506.9,0.96767,0.46626,0.88104,0.88513,0.8616,0.90176,0.57362,1.36786,0.51454,1.192,0.00829091,0.00829091,0.00829091
49,13725.4,0.95642,0.46322,0.87893,0.9074,0.86793,0.91482,0.58533,1.33871,0.50493,1.16148,0.00825455,0.00825455,0.00825455
