epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,101.924,1.30767,1.04625,0.95501,0.81727,0.8059,0.82885,0.48083,1.49353,0.69128,1.12716,0.0033189,0.0033189,0.0033189
2,200.527,1.33363,0.77598,0.94954,0.85428,0.81993,0.85396,0.45874,1.54862,1.03003,1.1664,0.00662653,0.00662653,0.00662653
3,296.134,1.38953,0.80233,0.97199,0.8043,0.75235,0.80332,0.43726,1.50743,1.13358,1.18429,0.00990841,0.00990841,0.00990841
4,391.785,1.39687,0.77027,0.97742,0.86558,0.80719,0.88419,0.54479,1.3488,0.69415,1.12327,0.00988409,0.00988409,0.00988409
5,488.228,1.31598,0.70174,0.96475,0.85464,0.82943,0.87082,0.52138,1.38462,0.65172,1.14268,0.00984545,0.00984545,0.00984545
6,584.851,1.27304,0.67497,0.95405,0.85092,0.79887,0.8345,0.50809,1.3197,0.61983,1.12778,0.00980682,0.00980682,0.00980682
7,679.78,1.22478,0.64439,0.94574,0.89832,0.83387,0.87295,0.55537,1.32696,0.5992,1.13294,0.00976818,0.00976818,0.00976818
8,773.084,1.20412,0.62901,0.94532,0.8978,0.82024,0.87105,0.52596,1.37967,0.60157,1.14682,0.00972955,0.00972955,0.00972955
9,865.089,1.18533,0.60792,0.93612,0.91339,0.82971,0.88503,0.50211,1.46275,0.63202,1.16339,0.00969091,0.00969091,0.00969091
10,956.773,1.16289,0.60022,0.93221,0.91633,0.84138,0.88521,0.51533,1.44952,0.60065,1.19113,0.00965227,0.00965227,0.00965227
11,1050.62,1.15664,0.5922,0.92811,0.928,0.83471,0.89385,0.54328,1.36681,0.59145,1.16934,0.00961364,0.00961364,0.00961364
12,1144.79,1.12855,0.58037,0.9262,0.91772,0.85767,0.90019,0.54731,1.38717,0.56992,1.13635,0.009575,0.009575,0.009575
13,1238.89,1.12596,0.57527,0.9207,0.90662,0.85115,0.8987,0.58059,1.31271,0.5668,1.13264,0.00953636,0.00953636,0.00953636
14,1333.3,1.11675,0.57051,0.92024,0.91899,0.84196,0.8963,0.54936,1.39811,0.58182,1.15964,0.00949773,0.00949773,0.00949773
15,1428.16,1.10713,0.56251,0.9212,0.92866,0.83157,0.89854,0.57457,1.33166,0.54821,1.14643,0.00945909,0.00945909,0.00945909
16,1522.88,1.1002,0.55536,0.91861,0.86538,0.84594,0.87314,0.5407,1.37363,0.55567,1.15627,0.00942045,0.00942045,0.00942045
17,1617.34,1.07883,0.5493,0.91265,0.90056,0.85467,0.89972,0.58627,1.34026,0.5417,1.13043,0.00938182,0.00938182,0.00938182
18,1710.67,1.08465,0.54694,0.91464,0.904,0.86256,0.89978,0.57433,1.35049,0.55585,1.12718,0.00934318,0.00934318,0.00934318
19,1803.87,1.08558,0.54657,0.91417,0.88023,0.86515,0.9001,0.57131,1.34933,0.55529,1.15082,0.00930455,0.00930455,0.00930455
20,1897.91,1.07358,0.53901,0.91035,0.9225,0.85135,0.9099,0.56039,1.47793,0.57308,1.20542,0.00926591,0.00926591,0.00926591
21,1991.45,1.06314,0.53428,0.90888,0.89465,0.85552,0.89732,0.56394,1.34237,0.54409,1.14634,0.00922727,0.00922727,0.00922727
22,2085.73,1.05898,0.52943,0.90334,0.91157,0.85112,0.89718,0.54412,1.42869,0.56095,1.16799,0.00918864,0.00918864,0.00918864
23,2180.17,1.05585,0.52609,0.90699,0.92161,0.87162,0.91413,0.57056,1.33354,0.54271,1.11775,0.00915,0.00915,0.00915
24,2274.61,1.04414,0.51978,0.90051,0.93428,0.85653,0.91462,0.57017,1.391,0.54478,1.1548,0.00911136,0.00911136,0.00911136
25,2368.72,1.0305,0.51304,0.89692,0.94011,0.83209,0.89919,0.55179,1.4475,0.55385,1.18991,0.00907273,0.00907273,0.00907273
26,2464.1,1.0351,0.51812,0.89971,0.92164,0.86903,0.91376,0.57127,1.38408,0.53574,1.15829,0.00903409,0.00903409,0.00903409
27,2561,1.02763,0.51285,0.89929,0.89738,0.87258,0.90667,0.57427,1.391,0.53502,1.14765,0.00899545,0.00899545,0.00899545
28,2655.21,1.0282,0.50899,0.9004,0.92477,0.84753,0.90145,0.56429,1.44586,0.55344,1.20348,0.00895682,0.00895682,0.00895682
29,2751.59,1.0223,0.50614,0.89737,0.915,0.86546,0.90909,0.56926,1.43056,0.55031,1.19456,0.00891818,0.00891818,0.00891818
30,2847.84,1.02562,0.50532,0.89995,0.93575,0.87402,0.92171,0.59839,1.31517,0.5142,1.12516,0.00887955,0.00887955,0.00887955
31,2944.17,1.01755,0.50367,0.89367,0.91912,0.87716,0.9145,0.59276,1.33324,0.52718,1.13691,0.00884091,0.00884091,0.00884091
32,3038.85,1.00974,0.50211,0.89217,0.92928,0.8907,0.91743,0.59282,1.33242,0.52842,1.11636,0.00880227,0.00880227,0.00880227
33,3134.87,1.0066,0.494,0.89192,0.91255,0.87152,0.91543,0.57956,1.40448,0.53784,1.16241,0.00876364,0.00876364,0.00876364
34,3228.9,0.99585,0.49591,0.89019,0.9269,0.86048,0.90482,0.56117,1.39555,0.53528,1.14596,0.008725,0.008725,0.008725
35,3323.71,0.99656,0.49089,0.88864,0.93041,0.85595,0.91108,0.58821,1.36495,0.5241,1.16292,0.00868636,0.00868636,0.00868636
36,3418.19,0.99347,0.4887,0.88899,0.90515,0.86868,0.91252,0.5752,1.40516,0.52828,1.18114,0.00864773,0.00864773,0.00864773
37,3514,0.98918,0.48887,0.88874,0.92363,0.86948,0.92019,0.60458,1.36119,0.51883,1.15296,0.00860909,0.00860909,0.00860909
38,3611.46,0.99423,0.48735,0.88936,0.91047,0.87236,0.91478,0.59787,1.32913,0.50881,1.14121,0.00857045,0.00857045,0.00857045
39,3708.9,0.99076,0.48556,0.88713,0.94286,0.85122,0.9094,0.59149,1.37025,0.51549,1.15614,0.00853182,0.00853182,0.00853182
40,3807.02,0.98557,0.48016,0.88611,0.9347,0.85544,0.91509,0.59315,1.41172,0.52809,1.17346,0.00849318,0.00849318,0.00849318
41,3905.69,0.97604,0.47879,0.88504,0.88344,0.89124,0.91452,0.59835,1.3608,0.51298,1.16138,0.00845455,0.00845455,0.00845455
