epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,58.5507,1.32766,1.7456,0.9206,0.97393,0.15515,0.27207,0.14913,1.3924,1.97758,0.90036,0.0033046,0.0033046,0.0033046
2,115.491,1.35522,0.93865,0.92027,0.87638,0.42366,0.53992,0.31107,1.26191,0.96862,0.9057,0.00660507,0.00660507,0.00660507
3,167.818,1.39925,0.91086,0.93695,0.69257,0.54138,0.58271,0.28695,1.46182,1.26625,0.9505,0.00987255,0.00987255,0.00987255
4,220.417,1.32434,0.82877,0.92539,0.74389,0.59914,0.64455,0.34036,1.18681,0.83802,0.90003,0.0098515,0.0098515,0.0098515
5,272.573,1.21247,0.73386,0.90443,0.87347,0.64574,0.71223,0.41407,1.02163,0.62415,0.86203,0.009802,0.009802,0.009802
6,324.722,1.16531,0.67523,0.89302,0.87325,0.66957,0.72448,0.42363,1.00035,0.61586,0.86284,0.0097525,0.0097525,0.0097525
7,376.768,1.12522,0.63536,0.88771,0.86165,0.67688,0.7218,0.43215,0.97318,0.59183,0.85294,0.009703,0.009703,0.009703
8,429.54,1.10136,0.61366,0.88397,0.86561,0.6542,0.72403,0.42729,0.94621,0.58937,0.84782,0.0096535,0.0096535,0.0096535
9,483.179,1.07171,0.59284,0.87575,0.888,0.68038,0.75423,0.4603,0.92111,0.53805,0.85358,0.009604,0.009604,0.009604
10,535.734,1.06457,0.57556,0.87597,0.86915,0.65959,0.7318,0.42698,0.96085,0.56207,0.85819,0.0095545,0.0095545,0.0095545
11,587.943,1.04215,0.56132,0.87156,0.85092,0.7074,0.75603,0.46292,0.89001,0.51822,0.84482,0.009505,0.009505,0.009505
12,640.954,1.03334,0.55049,0.86927,0.88237,0.69242,0.76611,0.47654,0.89586,0.50174,0.84797,0.0094555,0.0094555,0.0094555
13,694.721,1.02262,0.54358,0.86683,0.88517,0.69186,0.76335,0.46516,0.88539,0.49074,0.84103,0.009406,0.009406,0.009406
14,748.032,1.01359,0.5335,0.86618,0.89606,0.70606,0.76543,0.46463,0.90835,0.48602,0.84211,0.0093565,0.0093565,0.0093565
15,801.134,1.00189,0.52345,0.86444,0.88551,0.71628,0.77528,0.49167,0.84637,0.47169,0.83663,0.009307,0.009307,0.009307
16,854.254,0.99656,0.51816,0.86212,0.89798,0.71457,0.78169,0.48898,0.85845,0.45912,0.83896,0.0092575,0.0092575,0.0092575
17,907.372,0.98794,0.51292,0.86168,0.85975,0.72907,0.78881,0.49459,0.84506,0.45443,0.83719,0.009208,0.009208,0.009208
18,959.188,0.98177,0.50694,0.86022,0.86579,0.70531,0.76664,0.4718,0.88497,0.48458,0.84202,0.0091585,0.0091585,0.0091585
19,1010.42,0.98032,0.50195,0.85688,0.87229,0.71943,0.77603,0.49168,0.8503,0.45462,0.83686,0.009109,0.009109,0.009109
20,1063.9,0.97358,0.49866,0.85602,0.88324,0.72539,0.78668,0.499,0.83065,0.44562,0.8355,0.0090595,0.0090595,0.0090595
21,1117.37,0.96783,0.49294,0.85547,0.89223,0.71857,0.78555,0.49639,0.83597,0.44744,0.83298,0.00901,0.00901,0.00901
22,1169.84,0.96227,0.48866,0.85757,0.90678,0.72211,0.79761,0.50045,0.83746,0.45074,0.83465,0.0089605,0.0089605,0.0089605
23,1223.34,0.95808,0.48665,0.85414,0.86394,0.73098,0.78411,0.49776,0.83851,0.43856,0.83491,0.008911,0.008911,0.008911
24,1276.25,0.95388,0.48176,0.85521,0.87866,0.73169,0.78808,0.49426,0.85482,0.44025,0.83419,0.0088615,0.0088615,0.0088615
25,1329.77,0.94394,0.4787,0.85438,0.87363,0.71941,0.79004,0.49077,0.86169,0.44714,0.83524,0.008812,0.008812,0.008812
26,1382.37,0.94379,0.47698,0.85349,0.89866,0.71188,0.78696,0.49678,0.8464,0.44519,0.83551,0.0087625,0.0087625,0.0087625
27,1434.65,0.93782,0.4727,0.85268,0.88122,0.72313,0.79118,0.49724,0.8451,0.44666,0.83645,0.008713,0.008713,0.008713
28,1486.32,0.93959,0.47316,0.85238,0.90093,0.70769,0.78,0.48565,0.84711,0.44184,0.83673,0.0086635,0.0086635,0.0086635
29,1537.83,0.93565,0.46964,0.85318,0.87618,0.72879,0.78468,0.4968,0.86118,0.43856,0.83522,0.008614,0.008614,0.008614
30,1589.72,0.93245,0.46524,0.85004,0.87746,0.73263,0.79085,0.50158,0.83261,0.43136,0.83286,0.0085645,0.0085645,0.0085645
31,1641.99,0.92839,0.46244,0.84954,0.92521,0.72054,0.79109,0.50531,0.82859,0.43193,0.83329,0.008515,0.008515,0.008515
32,1695.46,0.92377,0.4625,0.84896,0.88993,0.73168,0.79594,0.49461,0.84608,0.43034,0.8337,0.0084655,0.0084655,0.0084655
33,1747.88,0.92276,0.45707,0.84802,0.9098,0.73797,0.80603,0.513,0.82023,0.41535,0.83181,0.008416,0.008416,0.008416
34,1800.69,0.91297,0.45423,0.84762,0.90032,0.74241,0.8004,0.51443,0.81411,0.41672,0.83008,0.0083665,0.0083665,0.0083665
35,1852.88,0.91207,0.45259,0.84734,0.89503,0.74476,0.80739,0.51239,0.82313,0.41836,0.83175,0.008317,0.008317,0.008317
36,1905.11,0.91769,0.45358,0.84824,0.90412,0.72747,0.80235,0.51376,0.83458,0.42254,0.83453,0.0082675,0.0082675,0.0082675
37,1956.74,0.90654,0.44849,0.84678,0.88756,0.74261,0.79394,0.50656,0.83855,0.42446,0.83333,0.008218,0.008218,0.008218
38,2007.75,0.89585,0.44377,0.84666,0.92199,0.73403,0.80005,0.51383,0.81736,0.41623,0.83094,0.0081685,0.0081685,0.0081685
39,2058.95,0.90227,0.44779,0.84862,0.86862,0.73204,0.79183,0.50166,0.86228,0.44317,0.84058,0.008119,0.008119,0.008119
40,2109.88,0.89868,0.44431,0.84497,0.90846,0.73608,0.80104,0.51174,0.84251,0.42124,0.83429,0.0080695,0.0080695,0.0080695
