epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.205,1.88836,2.10237,1.01651,0.33333,0.00014,0.16673,0.14181,1.74184,2.0938,0.87811,0.0033033,0.0033033,0.0033033
2,107.197,1.78061,1.21698,0.98781,0.52066,0.33034,0.42636,0.191,1.9983,1.15746,0.90584,0.00661009,0.00661009,0.00661009
3,158.057,1.80526,1.18066,1.0012,0.4946,0.38965,0.45533,0.20446,1.80734,1.45646,0.91885,0.00989021,0.00989021,0.00989021
4,208.892,1.75483,1.07927,0.9903,0.70106,0.50582,0.61139,0.27804,1.75113,1.13768,0.89972,0.00988,0.00988,0.00988
5,259.921,1.63525,0.97176,0.96977,0.83776,0.48608,0.67995,0.33427,1.72331,1.02542,0.89387,0.00984,0.00984,0.00984
6,310.676,1.56501,0.89749,0.958,0.82516,0.42531,0.63382,0.30702,1.72743,0.90289,0.89463,0.0098,0.0098,0.0098
7,361.712,1.53336,0.86476,0.94564,0.83875,0.5277,0.69524,0.2925,1.9793,0.96832,0.93113,0.00976,0.00976,0.00976
8,412.592,1.48729,0.82626,0.93759,0.87392,0.52713,0.71521,0.36346,1.56808,0.79922,0.88222,0.00972,0.00972,0.00972
9,463.291,1.47359,0.79748,0.9356,0.86693,0.56439,0.72554,0.37836,1.51471,0.73001,0.87051,0.00968,0.00968,0.00968
10,514.09,1.44338,0.77373,0.92738,0.86939,0.567,0.72868,0.36638,1.57715,0.75319,0.87865,0.00964,0.00964,0.00964
11,565.096,1.42748,0.75832,0.92723,0.90308,0.59414,0.75599,0.38746,1.48938,0.71476,0.86113,0.0096,0.0096,0.0096
12,616.095,1.41979,0.7476,0.92376,0.91646,0.54984,0.73967,0.4041,1.52043,0.71345,0.8685,0.00956,0.00956,0.00956
13,667.071,1.40322,0.73437,0.92167,0.90668,0.59111,0.75496,0.40942,1.38748,0.67053,0.85407,0.00952,0.00952,0.00952
14,717.906,1.38626,0.72172,0.91922,0.91214,0.60401,0.76346,0.373,1.63947,0.74628,0.87467,0.00948,0.00948,0.00948
15,769.127,1.37808,0.71387,0.9145,0.9129,0.59191,0.76146,0.4228,1.40783,0.68013,0.85393,0.00944,0.00944,0.00944
16,820.144,1.37355,0.70656,0.91246,0.91959,0.61628,0.77247,0.41747,1.40311,0.66181,0.84846,0.0094,0.0094,0.0094
17,871.047,1.35293,0.70252,0.91348,0.92557,0.56649,0.74752,0.41624,1.43121,0.65433,0.85584,0.00936,0.00936,0.00936
18,922.027,1.34465,0.69379,0.91164,0.92087,0.58998,0.75994,0.40992,1.37878,0.64565,0.85228,0.00932,0.00932,0.00932
