epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.0181,1.88953,2.08673,1.02166,0,0,0,0,1.67411,2.09864,0.87021,0.0033033,0.0033033,0.0033033
2,106.73,1.78555,1.21861,0.98943,0.53454,0.30181,0.42251,0.19383,2.0353,1.05347,0.92079,0.006611,0.006611,0.006611
3,158.31,1.80082,1.17525,1.0031,0.46663,0.34525,0.40131,0.17479,2.00802,2.19979,0.93513,0.00989293,0.00989293,0.00989293
4,209.872,1.75191,1.07521,0.99253,0.79592,0.38387,0.60728,0.30478,1.72448,1.10098,0.90617,0.00988409,0.00988409,0.00988409
5,261.311,1.63895,0.96908,0.97159,0.85128,0.3801,0.62978,0.31552,1.76085,1.01834,0.89961,0.00984545,0.00984545,0.00984545
6,313.053,1.57819,0.90306,0.96088,0.78764,0.45007,0.61922,0.27548,1.86189,0.8982,0.90712,0.00980682,0.00980682,0.00980682
7,364.712,1.54143,0.86645,0.95122,0.87545,0.5186,0.70797,0.33939,1.77687,0.85964,0.91268,0.00976818,0.00976818,0.00976818
8,416.075,1.49776,0.82538,0.94204,0.92365,0.43843,0.68435,0.38667,1.46739,0.73491,0.86227,0.00972955,0.00972955,0.00972955
9,467.437,1.48198,0.80336,0.93818,0.85083,0.46457,0.67314,0.34728,1.63651,0.79497,0.88278,0.00969091,0.00969091,0.00969091
10,519.077,1.45074,0.78234,0.9295,0.87917,0.57434,0.742,0.36803,1.51197,0.76585,0.86982,0.00965227,0.00965227,0.00965227
11,570.446,1.43687,0.76113,0.93112,0.9337,0.53442,0.73651,0.39655,1.50471,0.69821,0.86637,0.00961364,0.00961364,0.00961364
12,622.17,1.42568,0.75358,0.92689,0.88642,0.56405,0.73906,0.38825,1.48619,0.73992,0.86629,0.009575,0.009575,0.009575
13,673.853,1.40984,0.73792,0.92464,0.92214,0.49824,0.71877,0.39366,1.47835,0.69406,0.85974,0.00953636,0.00953636,0.00953636
14,725.045,1.39481,0.72767,0.9226,0.90226,0.54012,0.7336,0.39623,1.57787,0.68882,0.88028,0.00949773,0.00949773,0.00949773
15,776.684,1.38647,0.71578,0.91668,0.91804,0.59304,0.76259,0.40928,1.44595,0.6646,0.85697,0.00945909,0.00945909,0.00945909
16,828.564,1.3861,0.71416,0.91485,0.91046,0.56906,0.74513,0.41959,1.40677,0.66396,0.8566,0.00942045,0.00942045,0.00942045
17,880.12,1.35931,0.70383,0.91741,0.92274,0.57922,0.75516,0.40191,1.52208,0.66751,0.86222,0.00938182,0.00938182,0.00938182
18,930.603,1.35698,0.69973,0.91395,0.90708,0.57882,0.7505,0.40072,1.46342,0.65248,0.85942,0.00934318,0.00934318,0.00934318
19,982.037,1.34672,0.69372,0.90864,0.91368,0.53123,0.72827,0.41074,1.42671,0.65443,0.85535,0.00930455,0.00930455,0.00930455
20,1032.59,1.32692,0.68084,0.9094,0.93349,0.56042,0.75285,0.40276,1.41515,0.63864,0.85496,0.00926591,0.00926591,0.00926591
21,1083.04,1.34134,0.68516,0.9089,0.94524,0.55125,0.75195,0.42342,1.39817,0.65731,0.8551,0.00922727,0.00922727,0.00922727
22,1133.36,1.33397,0.67727,0.90868,0.89641,0.58356,0.74475,0.39215,1.40971,0.66376,0.85564,0.00918864,0.00918864,0.00918864
23,1183.48,1.31926,0.67292,0.90679,0.91409,0.60716,0.76909,0.42036,1.35951,0.64535,0.84854,0.00915,0.00915,0.00915
24,1233.93,1.30833,0.66398,0.90478,0.91972,0.57682,0.75327,0.40918,1.43758,0.63992,0.85672,0.00911136,0.00911136,0.00911136
25,1284.14,1.30597,0.66312,0.90418,0.91932,0.58036,0.75209,0.40442,1.41154,0.63105,0.85397,0.00907273,0.00907273,0.00907273
26,1334.36,1.29911,0.65679,0.89996,0.92592,0.58834,0.76172,0.42955,1.31485,0.63517,0.84208,0.00903409,0.00903409,0.00903409
27,1384.64,1.29007,0.65141,0.90149,0.93286,0.55771,0.74842,0.41883,1.3423,0.61708,0.84636,0.00899545,0.00899545,0.00899545
28,1434.93,1.28582,0.65401,0.8997,0.89265,0.62833,0.76685,0.41239,1.36308,0.65307,0.84683,0.00895682,0.00895682,0.00895682
29,1485.27,1.27893,0.64517,0.89913,0.91805,0.57599,0.75295,0.43099,1.35536,0.62246,0.84768,0.00891818,0.00891818,0.00891818
30,1535.72,1.27153,0.64053,0.89738,0.90167,0.5777,0.74671,0.40902,1.37205,0.62104,0.84438,0.00887955,0.00887955,0.00887955
31,1586.16,1.26586,0.63706,0.89665,0.8845,0.60764,0.75258,0.42325,1.33295,0.61851,0.84495,0.00884091,0.00884091,0.00884091
32,1636.71,1.27624,0.63821,0.89533,0.94226,0.58371,0.76423,0.42249,1.37262,0.60493,0.84758,0.00880227,0.00880227,0.00880227
33,1687.36,1.26268,0.63427,0.89471,0.92699,0.59944,0.76605,0.42749,1.38917,0.60933,0.84866,0.00876364,0.00876364,0.00876364
