epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,91.6691,1.68628,1.79696,0.99406,0.51716,0.23201,0.3706,0.14344,2.09658,1.06801,1.02326,0.0033145,0.0033145,0.0033145
2,178.763,1.59997,1.07456,0.97342,0.89669,0.38645,0.65312,0.38131,1.31088,0.83511,0.87756,0.00661958,0.00661958,0.00661958
3,260.285,1.61128,1.01482,0.98001,0.73936,0.453,0.6166,0.31185,1.42356,1.06887,0.89665,0.00989633,0.00989633,0.00989633
4,339.939,1.55662,0.94414,0.9712,0.8232,0.51978,0.69318,0.38405,1.40373,0.85763,0.89042,0.0098725,0.0098725,0.0098725
5,418.926,1.46537,0.83986,0.95375,0.86513,0.57855,0.73844,0.41205,1.21546,0.72069,0.86704,0.00983,0.00983,0.00983
6,496.905,1.41703,0.77836,0.9433,0.9042,0.51362,0.72238,0.41551,1.30332,0.72909,0.87788,0.0097875,0.0097875,0.0097875
7,575.343,1.38337,0.744,0.93146,0.89239,0.56395,0.75069,0.44417,1.18419,0.6768,0.86079,0.009745,0.009745,0.009745
8,654.234,1.35275,0.71685,0.92863,0.94718,0.4971,0.7244,0.40765,1.44044,0.65033,0.89882,0.0097025,0.0097025,0.0097025
9,734.636,1.32066,0.69033,0.92353,0.87846,0.62423,0.7688,0.42674,1.20253,0.64225,0.85997,0.00966,0.00966,0.00966
10,814.482,1.30892,0.67678,0.9193,0.91937,0.5901,0.7639,0.44614,1.20511,0.59233,0.85583,0.0096175,0.0096175,0.0096175
11,892.768,1.28313,0.65733,0.91637,0.89721,0.58598,0.75912,0.44718,1.16808,0.62574,0.85808,0.009575,0.009575,0.009575
12,970.927,1.27652,0.64867,0.91015,0.92638,0.58533,0.76085,0.45421,1.13199,0.57215,0.85365,0.0095325,0.0095325,0.0095325
13,1048.87,1.25782,0.63615,0.91085,0.89921,0.61855,0.77068,0.44754,1.20581,0.5989,0.85667,0.00949,0.00949,0.00949
14,1127.15,1.25201,0.63215,0.90755,0.91101,0.60612,0.76815,0.4643,1.09691,0.56153,0.84839,0.0094475,0.0094475,0.0094475
15,1208.85,1.23246,0.62125,0.90377,0.91788,0.57856,0.75879,0.46754,1.10288,0.56203,0.84734,0.009405,0.009405,0.009405
16,1291.33,1.22439,0.61384,0.90274,0.91341,0.56915,0.75237,0.45298,1.1075,0.55892,0.84823,0.0093625,0.0093625,0.0093625
17,1370.62,1.21436,0.61147,0.90062,0.9314,0.6109,0.77806,0.46291,1.10789,0.53353,0.84835,0.00932,0.00932,0.00932
18,1449.62,1.20184,0.60081,0.89935,0.9223,0.61793,0.77898,0.47113,1.11947,0.55146,0.84726,0.0092775,0.0092775,0.0092775
19,1528.8,1.19771,0.59655,0.89576,0.91997,0.60409,0.77205,0.47771,1.04722,0.53547,0.83984,0.009235,0.009235,0.009235
20,1607.61,1.19367,0.59286,0.89531,0.94044,0.61085,0.78065,0.47713,1.03967,0.52289,0.83951,0.0091925,0.0091925,0.0091925
21,1685.47,1.18384,0.58801,0.89516,0.91565,0.60714,0.7701,0.47813,1.05143,0.52425,0.83925,0.00915,0.00915,0.00915
22,1763.71,1.17878,0.57868,0.89198,0.91572,0.62499,0.78113,0.47281,1.13659,0.53411,0.84478,0.0091075,0.0091075,0.0091075
23,1842,1.17366,0.57875,0.89342,0.94207,0.6006,0.77786,0.48189,1.04388,0.51059,0.83514,0.009065,0.009065,0.009065
24,1919.94,1.16593,0.57415,0.8912,0.94941,0.5766,0.76827,0.4786,1.06949,0.51137,0.84079,0.0090225,0.0090225,0.0090225
25,1998.08,1.16289,0.57228,0.8904,0.95519,0.60222,0.78335,0.47535,1.11399,0.51226,0.84349,0.00898,0.00898,0.00898
26,2079.43,1.15959,0.56794,0.89083,0.939,0.64132,0.79701,0.48175,1.10136,0.51615,0.84144,0.0089375,0.0089375,0.0089375
27,2160.13,1.15554,0.56502,0.8881,0.91746,0.64772,0.78724,0.4822,1.03959,0.50161,0.83748,0.008895,0.008895,0.008895
28,2239.31,1.1461,0.56158,0.88793,0.94447,0.65618,0.80515,0.48578,1.04611,0.49471,0.83789,0.0088525,0.0088525,0.0088525
29,2319.11,1.14503,0.56276,0.887,0.9448,0.64113,0.79847,0.49581,1.07488,0.50094,0.83814,0.00881,0.00881,0.00881
30,2398.49,1.14039,0.55749,0.88521,0.94566,0.62942,0.79194,0.48127,1.05819,0.49701,0.83678,0.0087675,0.0087675,0.0087675
31,2478.06,1.13339,0.55143,0.88453,0.95468,0.63147,0.79688,0.49614,1.05064,0.49881,0.83701,0.008725,0.008725,0.008725
32,2556.58,1.13854,0.55556,0.88484,0.934,0.61891,0.78169,0.48444,1.0826,0.50584,0.83974,0.0086825,0.0086825,0.0086825
33,2637.19,1.12738,0.54883,0.88292,0.94048,0.64139,0.79655,0.50027,1.02531,0.49169,0.83499,0.00864,0.00864,0.00864
34,2717.2,1.1182,0.54528,0.88284,0.93292,0.64402,0.79599,0.49203,1.04749,0.49924,0.83524,0.0085975,0.0085975,0.0085975
35,2797.12,1.12593,0.54582,0.88295,0.94521,0.64613,0.79805,0.49804,1.01278,0.48501,0.83225,0.008555,0.008555,0.008555
36,2877.49,1.11922,0.54439,0.88288,0.95079,0.61502,0.78642,0.49176,1.0605,0.48674,0.83652,0.0085125,0.0085125,0.0085125
37,2957.9,1.11679,0.54289,0.88136,0.94222,0.63604,0.79409,0.49216,1.03373,0.48543,0.83535,0.00847,0.00847,0.00847
38,3038.75,1.11286,0.54021,0.88099,0.935,0.64883,0.7973,0.49321,1.0334,0.48515,0.83451,0.0084275,0.0084275,0.0084275
39,3120.63,1.11373,0.54211,0.87957,0.96159,0.60029,0.78484,0.49765,0.99775,0.47376,0.83096,0.008385,0.008385,0.008385
40,3201.85,1.10498,0.53424,0.87935,0.93732,0.64732,0.79915,0.5,1.03158,0.48584,0.83459,0.0083425,0.0083425,0.0083425
41,3283.59,1.10144,0.53391,0.87981,0.95362,0.63861,0.80013,0.50039,1.02914,0.47661,0.83246,0.0083,0.0083,0.0083
42,3364.7,1.10254,0.53237,0.88018,0.93385,0.6501,0.79983,0.49914,1.0378,0.48026,0.83418,0.0082575,0.0082575,0.0082575
43,3445.56,1.09901,0.5315,0.87693,0.93678,0.64263,0.79721,0.49483,1.0324,0.48422,0.83561,0.008215,0.008215,0.008215
44,3526.85,1.10077,0.53128,0.87791,0.95752,0.62644,0.79594,0.51246,1.00355,0.47068,0.83187,0.0081725,0.0081725,0.0081725
45,3608.29,1.0934,0.52919,0.87808,0.93542,0.64932,0.80032,0.50193,1.03768,0.48281,0.83632,0.00813,0.00813,0.00813
46,3688.99,1.09652,0.52753,0.87662,0.93932,0.63922,0.7972,0.50011,1.01073,0.47565,0.832,0.0080875,0.0080875,0.0080875
47,3768.85,1.08824,0.52636,0.87594,0.93641,0.64042,0.79229,0.51197,1.00014,0.46535,0.83129,0.008045,0.008045,0.008045
48,3850.02,1.08431,0.52368,0.87552,0.95623,0.63595,0.80029,0.50965,1.00405,0.4652,0.83129,0.0080025,0.0080025,0.0080025
49,3929.98,1.08466,0.52397,0.87385,0.94389,0.65609,0.80596,0.50966,1.03052,0.46805,0.8338,0.00796,0.00796,0.00796
50,4009.87,1.08218,0.52233,0.87535,0.95105,0.63856,0.7993,0.50901,1.01236,0.47103,0.83059,0.0079175,0.0079175,0.0079175
51,4089.92,1.08999,0.52505,0.87594,0.93291,0.63708,0.79003,0.5005,1.00139,0.46425,0.83106,0.007875,0.007875,0.007875
52,4169.18,1.07316,0.51907,0.87338,0.94478,0.64298,0.79974,0.50663,1.02159,0.46866,0.83174,0.0078325,0.0078325,0.0078325
