epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.0292,1.57343,2.10801,0.89324,0,0,0,0,1.45396,2.78223,0.86029,0.000470147,0.000470147,0.000470147
2,81.328,1.39111,0.93509,0.87886,0.60529,0.35685,0.48703,0.3108,1.31852,0.84954,0.84861,0.000942695,0.000942695,0.000942695
3,119.174,1.33746,0.82344,0.87154,0.87461,0.48938,0.6988,0.36356,1.41178,0.75913,0.8563,0.00141143,0.00141143,0.00141143
4,157.372,1.29311,0.74807,0.86928,0.8057,0.5529,0.70305,0.38463,1.37164,0.70343,0.84875,0.00141185,0.00141185,0.00141185
5,195.258,1.26228,0.71566,0.8647,0.69847,0.52792,0.6437,0.35186,1.42834,0.72369,0.86286,0.00140614,0.00140614,0.00140614
6,233.324,1.27908,0.69399,0.86127,0.77176,0.59896,0.70514,0.39168,1.31433,0.65723,0.84644,0.00140042,0.00140042,0.00140042
7,271.895,1.22962,0.66038,0.85427,0.86544,0.54605,0.72037,0.40876,1.26005,0.62938,0.83977,0.0013947,0.0013947,0.0013947
8,310.002,1.23038,0.64929,0.85766,0.79754,0.56693,0.71016,0.3855,1.32534,0.65419,0.84646,0.00138899,0.00138899,0.00138899
9,348.213,1.20468,0.63747,0.85201,0.82352,0.62328,0.74658,0.41532,1.26612,0.63453,0.83986,0.00138327,0.00138327,0.00138327
10,386.286,1.1933,0.62561,0.85185,0.81491,0.62754,0.74406,0.41895,1.25041,0.63084,0.8403,0.00137756,0.00137756,0.00137756
11,423.955,1.18245,0.61734,0.85295,0.79583,0.591,0.72122,0.40499,1.34009,0.68929,0.84861,0.00137184,0.00137184,0.00137184
12,462.213,1.18191,0.60975,0.85072,0.82838,0.59828,0.73635,0.43052,1.22661,0.62013,0.8361,0.00136612,0.00136612,0.00136612
13,500.541,1.17656,0.60227,0.84945,0.82665,0.63384,0.75473,0.42619,1.27878,0.60588,0.83868,0.00136041,0.00136041,0.00136041
14,538.766,1.15257,0.58642,0.84585,0.8678,0.60548,0.75286,0.40971,1.291,0.59725,0.83673,0.00135469,0.00135469,0.00135469
15,576.725,1.16293,0.59128,0.84496,0.89181,0.58644,0.74694,0.43639,1.30374,0.59537,0.84435,0.00134898,0.00134898,0.00134898
16,614.959,1.14323,0.58401,0.84344,0.84818,0.61542,0.74859,0.43853,1.19184,0.57111,0.83302,0.00134326,0.00134326,0.00134326
17,653.823,1.14392,0.57582,0.84469,0.80849,0.5935,0.72663,0.42533,1.26877,0.58564,0.83774,0.00133754,0.00133754,0.00133754
18,692.441,1.13729,0.57518,0.84334,0.87973,0.6191,0.76276,0.43217,1.22269,0.59349,0.83544,0.00133183,0.00133183,0.00133183
19,729.343,1.13575,0.5692,0.84416,0.87822,0.64014,0.77033,0.44965,1.14136,0.55759,0.82713,0.00132611,0.00132611,0.00132611
20,766.123,1.12585,0.56212,0.84007,0.89107,0.5907,0.75428,0.43815,1.26535,0.56381,0.8372,0.0013204,0.0013204,0.0013204
21,804.137,1.12853,0.56982,0.84113,0.81378,0.62915,0.74792,0.42837,1.25024,0.58332,0.8384,0.00131468,0.00131468,0.00131468
22,842.539,1.12849,0.5666,0.84188,0.79483,0.64425,0.7447,0.43742,1.18564,0.56742,0.83137,0.00130896,0.00130896,0.00130896
23,880.467,1.12507,0.56374,0.84189,0.90678,0.60233,0.76606,0.44767,1.21843,0.55861,0.83397,0.00130325,0.00130325,0.00130325
24,918.827,1.12027,0.55582,0.84012,0.87102,0.58551,0.74358,0.41738,1.28659,0.57914,0.83602,0.00129753,0.00129753,0.00129753
25,956.751,1.10972,0.55346,0.83689,0.88348,0.63179,0.771,0.43895,1.2209,0.57753,0.83189,0.00129182,0.00129182,0.00129182
26,995.415,1.11451,0.55056,0.84009,0.859,0.61243,0.75628,0.43952,1.26497,0.56947,0.8353,0.0012861,0.0012861,0.0012861
27,1033.63,1.12503,0.55333,0.84002,0.86235,0.58928,0.74282,0.43329,1.23697,0.56074,0.83392,0.00128038,0.00128038,0.00128038
28,1071.72,1.10026,0.54547,0.83754,0.88438,0.60089,0.7548,0.43517,1.26381,0.55741,0.83242,0.00127467,0.00127467,0.00127467
29,1110.36,1.09483,0.54096,0.83478,0.87448,0.61137,0.75404,0.44537,1.20393,0.5537,0.82993,0.00126895,0.00126895,0.00126895
30,1148.46,1.08548,0.53847,0.83672,0.82236,0.61544,0.74542,0.41939,1.30914,0.5835,0.83814,0.00126324,0.00126324,0.00126324
31,1186.48,1.10911,0.55203,0.83847,0.87869,0.62944,0.77026,0.45116,1.20355,0.5544,0.83051,0.00125752,0.00125752,0.00125752
32,1224.42,1.09989,0.54424,0.83483,0.86934,0.62742,0.76371,0.4263,1.28023,0.56746,0.83983,0.0012518,0.0012518,0.0012518
33,1262.4,1.0975,0.53794,0.83718,0.9018,0.64701,0.7862,0.45464,1.19429,0.53705,0.82867,0.00124609,0.00124609,0.00124609
34,1300.32,1.09431,0.53959,0.83604,0.86451,0.62992,0.76403,0.45501,1.18543,0.54641,0.82823,0.00124037,0.00124037,0.00124037
35,1338.36,1.08606,0.53287,0.83325,0.89239,0.60729,0.76388,0.44308,1.21344,0.54487,0.82959,0.00123466,0.00123466,0.00123466
36,1376.55,1.10061,0.53739,0.83591,0.90905,0.64426,0.78906,0.46606,1.16518,0.53744,0.8271,0.00122894,0.00122894,0.00122894
37,1413.22,1.06441,0.52274,0.83245,0.88485,0.6513,0.78005,0.46357,1.14558,0.52135,0.82603,0.00122322,0.00122322,0.00122322
38,1450.72,1.07645,0.52862,0.83393,0.91075,0.61978,0.77392,0.44881,1.1967,0.54001,0.83131,0.00121751,0.00121751,0.00121751
39,1488.86,1.08686,0.52977,0.83368,0.8951,0.63487,0.77895,0.44583,1.22116,0.54136,0.83203,0.00121179,0.00121179,0.00121179
40,1527.15,1.0638,0.52113,0.83253,0.90967,0.64363,0.78553,0.45969,1.16449,0.5323,0.82714,0.00120608,0.00120608,0.00120608
41,1565.22,1.06071,0.52263,0.82986,0.88218,0.64479,0.78003,0.46185,1.171,0.53258,0.827,0.00120036,0.00120036,0.00120036
42,1603.39,1.06883,0.51918,0.83115,0.89146,0.64871,0.78645,0.46836,1.17543,0.5328,0.82831,0.00119464,0.00119464,0.00119464
43,1641.51,1.06354,0.51767,0.83131,0.89296,0.6494,0.78202,0.46986,1.12518,0.52235,0.82454,0.00118893,0.00118893,0.00118893
44,1679.41,1.0839,0.52573,0.83208,0.8654,0.63715,0.76362,0.44835,1.19468,0.53181,0.8285,0.00118321,0.00118321,0.00118321
45,1717.61,1.05329,0.5143,0.83172,0.89496,0.6503,0.78474,0.458,1.18043,0.52472,0.82858,0.0011775,0.0011775,0.0011775
46,1755.92,1.07704,0.52116,0.83079,0.88632,0.63631,0.77337,0.45499,1.19084,0.53192,0.83133,0.00117178,0.00117178,0.00117178
47,1794.52,1.0599,0.51379,0.82913,0.88975,0.62838,0.77179,0.46859,1.1486,0.52942,0.82624,0.00116606,0.00116606,0.00116606
48,1832.75,1.05189,0.51102,0.83024,0.88993,0.64432,0.77833,0.45567,1.1396,0.52137,0.82365,0.00116035,0.00116035,0.00116035
49,1870,1.04942,0.51062,0.83182,0.90993,0.63921,0.78361,0.45431,1.17152,0.52478,0.82654,0.00115463,0.00115463,0.00115463
50,1907.61,1.04376,0.50403,0.83213,0.89084,0.64971,0.78218,0.4568,1.18022,0.5269,0.82721,0.00114892,0.00114892,0.00114892
51,1945,1.02943,0.5022,0.82957,0.86277,0.6567,0.77944,0.46106,1.18834,0.53856,0.82861,0.0011432,0.0011432,0.0011432
52,1982.52,1.0449,0.50583,0.82721,0.88824,0.65945,0.7872,0.47055,1.15166,0.51895,0.82627,0.00113748,0.00113748,0.00113748
53,2020.18,1.04721,0.50657,0.82892,0.89092,0.64701,0.78044,0.46591,1.13939,0.51454,0.82509,0.00113177,0.00113177,0.00113177
54,2058.45,1.06452,0.50829,0.82918,0.89653,0.65936,0.78659,0.47458,1.12136,0.51588,0.82301,0.00112605,0.00112605,0.00112605
55,2096.43,1.01838,0.49382,0.82937,0.88723,0.63662,0.77455,0.45712,1.16896,0.52163,0.82741,0.00112034,0.00112034,0.00112034
56,2134.53,1.04303,0.50235,0.82853,0.89445,0.64765,0.78098,0.46837,1.15464,0.52258,0.82532,0.00111462,0.00111462,0.00111462
57,2172.28,1.03867,0.50095,0.82762,0.85276,0.64483,0.76414,0.4499,1.16854,0.52727,0.82567,0.0011089,0.0011089,0.0011089
58,2209.94,1.03616,0.49818,0.8279,0.88134,0.64204,0.7736,0.47319,1.14836,0.51315,0.82364,0.00110319,0.00110319,0.00110319
59,2247.43,1.03955,0.50322,0.82858,0.89586,0.65433,0.78752,0.46124,1.16227,0.5228,0.82758,0.00109747,0.00109747,0.00109747
60,2284.38,1.03372,0.49878,0.82813,0.89372,0.63052,0.77423,0.46004,1.16521,0.52048,0.8264,0.00109176,0.00109176,0.00109176
61,2321.27,1.02953,0.49707,0.82544,0.8965,0.63464,0.77534,0.46192,1.20848,0.52849,0.82685,0.00108604,0.00108604,0.00108604
62,2357.4,1.03726,0.49957,0.82761,0.91387,0.6294,0.78057,0.46372,1.17295,0.51965,0.82623,0.00108032,0.00108032,0.00108032
63,2393.16,1.02692,0.49545,0.82651,0.89252,0.6524,0.78422,0.4629,1.14901,0.51275,0.82451,0.00107461,0.00107461,0.00107461
64,2429.65,1.02419,0.49417,0.82599,0.88963,0.63286,0.76903,0.45506,1.16963,0.52087,0.82541,0.00106889,0.00106889,0.00106889
65,2466.56,1.01735,0.49298,0.82563,0.915,0.64391,0.78868,0.47469,1.15989,0.51394,0.82566,0.00106318,0.00106318,0.00106318
66,2503.51,1.03087,0.49567,0.82735,0.88919,0.64691,0.77824,0.46538,1.17787,0.52259,0.82742,0.00105746,0.00105746,0.00105746
67,2540.26,1.0197,0.48729,0.82479,0.88269,0.6346,0.77117,0.45431,1.17178,0.51221,0.82575,0.00105174,0.00105174,0.00105174
68,2577.16,1.01606,0.48976,0.82578,0.90427,0.6524,0.79115,0.46802,1.1535,0.51437,0.82377,0.00104603,0.00104603,0.00104603
69,2613.97,1.02055,0.49087,0.82298,0.85386,0.66624,0.77676,0.46658,1.1558,0.51185,0.82435,0.00104031,0.00104031,0.00104031
70,2651.16,0.99614,0.4803,0.82217,0.91252,0.64319,0.78493,0.46998,1.16582,0.50824,0.82588,0.0010346,0.0010346,0.0010346
71,2688.51,1.00804,0.48434,0.82339,0.86919,0.647,0.77236,0.45305,1.17826,0.51047,0.82719,0.00102888,0.00102888,0.00102888
72,2726.43,1.01249,0.48457,0.82486,0.88137,0.64913,0.77718,0.46399,1.15504,0.51013,0.82496,0.00102316,0.00102316,0.00102316
73,2764.22,1.02788,0.48645,0.82294,0.89122,0.63359,0.77309,0.46387,1.15384,0.5054,0.82471,0.00101745,0.00101745,0.00101745
74,2800.64,1.01322,0.48451,0.82404,0.89394,0.6385,0.77759,0.46937,1.16727,0.50346,0.82455,0.00101173,0.00101173,0.00101173
75,2836.04,1.01551,0.4845,0.82407,0.88323,0.63085,0.77071,0.46022,1.18399,0.51736,0.82731,0.00100602,0.00100602,0.00100602
76,2871.24,1.00985,0.48608,0.82347,0.87006,0.66076,0.77895,0.45546,1.1951,0.51558,0.8283,0.0010003,0.0010003,0.0010003
77,2906.44,1.00534,0.48173,0.8256,0.87263,0.61984,0.75804,0.45976,1.16039,0.50586,0.82419,0.000994584,0.000994584,0.000994584
78,2941.66,1.00374,0.4786,0.82142,0.89826,0.63729,0.77817,0.46762,1.17366,0.50484,0.82633,0.000988868,0.000988868,0.000988868
79,2976.95,0.98637,0.47221,0.82185,0.90328,0.64848,0.78481,0.47334,1.12404,0.49852,0.82214,0.000983152,0.000983152,0.000983152
80,3012.35,1.00901,0.48069,0.82234,0.87826,0.65756,0.7801,0.46331,1.13664,0.50024,0.8233,0.000977436,0.000977436,0.000977436
81,3047.77,0.99129,0.47586,0.82253,0.86961,0.65237,0.7766,0.46044,1.16594,0.51002,0.82548,0.00097172,0.00097172,0.00097172
82,3083.46,0.9988,0.47544,0.82108,0.8811,0.64233,0.77311,0.46692,1.13588,0.49531,0.82253,0.000966004,0.000966004,0.000966004
83,3119.07,0.99061,0.47246,0.82289,0.87585,0.64383,0.77249,0.46395,1.14785,0.50118,0.82216,0.000960288,0.000960288,0.000960288
84,3155.19,1.00636,0.4791,0.81926,0.89793,0.64333,0.77958,0.46603,1.17752,0.50587,0.8252,0.000954572,0.000954572,0.000954572
85,3190.75,0.98818,0.47169,0.82004,0.88865,0.64975,0.77937,0.46738,1.17441,0.50908,0.82614,0.000948856,0.000948856,0.000948856
86,3227.18,0.99188,0.47049,0.82188,0.88518,0.65181,0.77781,0.4653,1.16273,0.50122,0.82533,0.00094314,0.00094314,0.00094314
87,3262.8,0.98984,0.47125,0.81878,0.91129,0.64035,0.7853,0.47264,1.14053,0.49697,0.8238,0.000937424,0.000937424,0.000937424
88,3298.58,0.98573,0.4651,0.82069,0.89581,0.648,0.78149,0.47613,1.12489,0.49675,0.82107,0.000931708,0.000931708,0.000931708
89,3334.25,0.98578,0.47006,0.8183,0.88115,0.6512,0.77635,0.46823,1.13825,0.4959,0.82303,0.000925992,0.000925992,0.000925992
90,3369.81,0.98143,0.46572,0.81594,0.87562,0.6469,0.77432,0.47332,1.13646,0.49806,0.8223,0.000920276,0.000920276,0.000920276
91,3405.59,0.97157,0.46455,0.82025,0.87858,0.6438,0.77345,0.46207,1.16884,0.50635,0.82778,0.00091456,0.00091456,0.00091456
92,3441.42,0.97808,0.46576,0.81825,0.87689,0.63212,0.76511,0.46657,1.14662,0.49813,0.82459,0.000908844,0.000908844,0.000908844
93,3477.59,0.98414,0.46525,0.81948,0.87747,0.65478,0.78051,0.46652,1.15609,0.50407,0.82387,0.000903128,0.000903128,0.000903128
94,3513.18,0.98304,0.46783,0.81936,0.87723,0.64363,0.77362,0.469,1.16122,0.49646,0.82442,0.000897412,0.000897412,0.000897412
95,3548.89,0.96871,0.46413,0.81845,0.8824,0.65698,0.78249,0.46967,1.14192,0.49641,0.82392,0.000891696,0.000891696,0.000891696
