epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,85.0223,1.93643,1.82618,0.99887,0.57495,0.15136,0.34469,0.12975,3.01797,1.31682,0.89127,0.0033145,0.0033145,0.0033145
2,171.071,1.83356,1.09884,0.98312,0.55535,0.29517,0.41916,0.17406,2.5228,1.18843,0.87641,0.00662124,0.00662124,0.00662124
3,250.948,1.85387,1.03053,0.98831,0.48833,0.35824,0.43033,0.19305,2.38739,1.19814,0.86639,0.00990132,0.00990132,0.00990132
4,337.676,1.78058,0.96151,0.97705,0.57315,0.42447,0.49519,0.21496,2.39519,1.04152,0.85871,0.00988,0.00988,0.00988
5,420.162,1.68609,0.85341,0.96102,0.79246,0.47525,0.63457,0.2608,2.13611,0.95469,0.84095,0.00984,0.00984,0.00984
6,498.723,1.64176,0.80375,0.95028,0.57732,0.45482,0.515,0.23564,2.17055,0.91442,0.84387,0.0098,0.0098,0.0098
7,576.543,1.59087,0.75869,0.9416,0.54611,0.46757,0.51722,0.2567,2.06621,0.92676,0.84899,0.00976,0.00976,0.00976
8,654.328,1.55268,0.72933,0.93346,0.599,0.46187,0.53187,0.26467,2.00302,0.8009,0.83467,0.00972,0.00972,0.00972
9,732.254,1.51727,0.71089,0.92593,0.73344,0.46992,0.60025,0.26283,2.16835,0.86262,0.83608,0.00968,0.00968,0.00968
10,810.13,1.49929,0.691,0.92525,0.85058,0.49046,0.6699,0.30416,1.99191,0.77733,0.83305,0.00964,0.00964,0.00964
11,888.222,1.48932,0.68006,0.92013,0.87689,0.45848,0.66695,0.30084,2.05168,0.75976,0.83788,0.0096,0.0096,0.0096
12,966.98,1.46526,0.66305,0.91677,0.77892,0.46525,0.62204,0.33651,1.92636,0.74407,0.82791,0.00956,0.00956,0.00956
13,1045.77,1.45787,0.6561,0.91448,0.81744,0.53035,0.67021,0.29117,2.0749,0.8077,0.8314,0.00952,0.00952,0.00952
14,1124.94,1.43476,0.64208,0.91106,0.79539,0.51801,0.65967,0.3145,1.90839,0.7677,0.82804,0.00948,0.00948,0.00948
15,1204.38,1.43197,0.6388,0.91022,0.77998,0.48909,0.63115,0.30945,1.978,0.75152,0.82793,0.00944,0.00944,0.00944
16,1284.56,1.41547,0.6315,0.90688,0.82423,0.55815,0.68847,0.29922,2.06696,0.83746,0.83664,0.0094,0.0094,0.0094
17,1364.25,1.40538,0.62592,0.90475,0.93008,0.48293,0.7003,0.31647,2.00335,0.72721,0.83372,0.00936,0.00936,0.00936
18,1447.61,1.39659,0.61907,0.90342,0.87019,0.51628,0.69615,0.3278,1.93697,0.78245,0.82675,0.00932,0.00932,0.00932
19,1524.81,1.3821,0.61074,0.90056,0.80757,0.56082,0.68239,0.27385,2.25677,0.89757,0.83573,0.00928,0.00928,0.00928
20,1603.54,1.37633,0.60789,0.9025,0.82954,0.53039,0.68092,0.32958,1.94209,0.75531,0.82778,0.00924,0.00924,0.00924
21,1684.11,1.36254,0.59818,0.89953,0.91856,0.50481,0.71127,0.34189,1.93126,0.70814,0.83421,0.0092,0.0092,0.0092
22,1763.95,1.36198,0.60137,0.89825,0.85648,0.53348,0.68846,0.31395,1.9209,0.74493,0.8304,0.00916,0.00916,0.00916
23,1842.82,1.35811,0.5974,0.89779,0.92179,0.53928,0.72988,0.34872,1.87221,0.71974,0.82391,0.00912,0.00912,0.00912
24,1920.59,1.33531,0.58569,0.89359,0.86565,0.52605,0.69248,0.34377,1.86284,0.72454,0.82365,0.00908,0.00908,0.00908
25,1998.75,1.34127,0.58741,0.89521,0.86798,0.52267,0.69363,0.34702,1.88906,0.71084,0.82555,0.00904,0.00904,0.00904
26,2076.87,1.32826,0.58297,0.89113,0.82239,0.52815,0.67776,0.33688,1.83538,0.72973,0.82351,0.009,0.009,0.009
27,2154.71,1.32527,0.57987,0.89206,0.90134,0.54084,0.7216,0.34367,1.92707,0.7377,0.82817,0.00896,0.00896,0.00896
