epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.6572,2.68294,2.59162,0.94048,0,0,0,0,2.6855,3.27062,0.88839,0.000468651,0.000468651,0.000468651
2,65.8193,2.31203,1.27363,0.88522,0.43548,0.00286,0.21911,0.06633,2.69527,1.66497,0.87924,0.000941204,0.000941204,0.000941204
3,96.4124,2.2534,1.13506,0.8808,0.60978,0.41614,0.5086,0.22565,2.2692,0.92174,0.84773,0.00140995,0.00140995,0.00140995
4,127.346,2.18816,1.02443,0.87442,0.54455,0.41911,0.47884,0.2147,2.18107,0.88653,0.83574,0.00141185,0.00141185,0.00141185
5,158.383,2.18189,0.97335,0.87118,0.52592,0.47442,0.49958,0.20482,2.3242,1.02894,0.85487,0.00140614,0.00140614,0.00140614
6,188.587,2.10779,0.93727,0.86669,0.55538,0.46578,0.50675,0.19619,2.46591,0.87841,0.86434,0.00140042,0.00140042,0.00140042
7,218.709,2.1122,0.91354,0.86947,0.5019,0.46401,0.47056,0.1501,2.70583,1.1228,0.87564,0.0013947,0.0013947,0.0013947
8,248.5,2.0757,0.88117,0.86268,0.57415,0.45157,0.51338,0.24151,2.11253,0.81299,0.83881,0.00138899,0.00138899,0.00138899
9,278.522,2.04423,0.85833,0.85776,0.58622,0.3841,0.4794,0.21895,2.31992,0.85236,0.83924,0.00138327,0.00138327,0.00138327
10,308.44,2.03044,0.84798,0.85746,0.58669,0.49189,0.54028,0.25875,2.02866,0.82376,0.82951,0.00137756,0.00137756,0.00137756
11,338.46,1.99544,0.83209,0.85494,0.57442,0.51231,0.54558,0.24978,2.08149,0.87472,0.83314,0.00137184,0.00137184,0.00137184
12,368.411,1.96646,0.80974,0.85325,0.59513,0.47135,0.53253,0.24258,2.20159,0.796,0.83794,0.00136612,0.00136612,0.00136612
13,398.634,1.93668,0.80897,0.85259,0.61342,0.51602,0.56198,0.27394,2.01876,0.80718,0.8285,0.00136041,0.00136041,0.00136041
14,428.525,1.96357,0.81352,0.85172,0.5884,0.43059,0.50955,0.24251,2.14503,0.78626,0.83364,0.00135469,0.00135469,0.00135469
15,458.409,1.92479,0.78926,0.84854,0.58026,0.51653,0.55231,0.24616,2.12104,0.82742,0.83726,0.00134898,0.00134898,0.00134898
16,488.287,1.95969,0.80393,0.85261,0.60911,0.50154,0.55729,0.28458,1.9191,0.7657,0.82325,0.00134326,0.00134326,0.00134326
17,518.35,1.932,0.7883,0.85078,0.60353,0.49151,0.54782,0.26881,2.02044,0.77583,0.8296,0.00133754,0.00133754,0.00133754
18,548.285,1.90894,0.77921,0.84602,0.60298,0.51671,0.5606,0.26384,2.06585,0.8328,0.82932,0.00133183,0.00133183,0.00133183
19,578.485,1.91032,0.77978,0.84621,0.61889,0.50656,0.55979,0.28507,1.9291,0.7654,0.82366,0.00132611,0.00132611,0.00132611
20,608.85,1.90934,0.77234,0.84722,0.60263,0.50589,0.55275,0.25487,2.15952,0.796,0.8429,0.0013204,0.0013204,0.0013204
