epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.2218,2.10923,3.1513,1.48856,0,0,0,0,1.92613,4.24633,1.43474,0.000470147,0.000470147,0.000470147
2,72.5661,1.84149,1.38479,1.45985,0.57553,0.40048,0.49988,0.30005,1.85686,1.27702,1.42842,0.000942695,0.000942695,0.000942695
3,107.958,1.79349,1.22952,1.45075,0.8403,0.48849,0.68015,0.34965,2.04608,1.20424,1.44346,0.00141143,0.00141143,0.00141143
4,143.727,1.72983,1.13541,1.4497,0.77405,0.59293,0.71417,0.39337,1.76247,1.05023,1.41076,0.00141185,0.00141185,0.00141185
5,178.868,1.71138,1.07796,1.44497,0.75754,0.5701,0.67732,0.33693,1.90149,1.06966,1.42204,0.00140614,0.00140614,0.00140614
6,214.369,1.68194,1.02793,1.4296,0.82475,0.56976,0.71027,0.3717,1.89752,1.02583,1.41928,0.00140042,0.00140042,0.00140042
7,249.535,1.65171,0.99038,1.42595,0.82699,0.59654,0.73866,0.41886,1.63263,0.9379,1.39556,0.0013947,0.0013947,0.0013947
8,284.814,1.60849,0.95482,1.42328,0.81895,0.61465,0.72789,0.40054,1.67577,0.94955,1.39917,0.00138899,0.00138899,0.00138899
9,319.969,1.60647,0.95153,1.41777,0.82052,0.62466,0.74083,0.39401,1.82757,0.96137,1.4121,0.00138327,0.00138327,0.00138327
10,355.204,1.59447,0.92973,1.41876,0.81755,0.66001,0.76066,0.41584,1.72904,0.9637,1.40661,0.00137756,0.00137756,0.00137756
11,390.387,1.59368,0.9268,1.42315,0.85724,0.62952,0.75908,0.40553,1.67593,0.92959,1.3972,0.00137184,0.00137184,0.00137184
12,425.439,1.57036,0.91021,1.41454,0.80164,0.63998,0.75242,0.42498,1.63609,0.90596,1.38716,0.00136612,0.00136612,0.00136612
13,460.321,1.54707,0.89068,1.4117,0.84478,0.62952,0.74863,0.41907,1.71778,0.89648,1.40494,0.00136041,0.00136041,0.00136041
14,495.175,1.53534,0.88227,1.40866,0.77892,0.6154,0.72428,0.3942,1.80834,0.91406,1.4041,0.00135469,0.00135469,0.00135469
15,530.176,1.54977,0.88108,1.40765,0.80636,0.65443,0.75535,0.42785,1.66299,0.86953,1.39806,0.00134898,0.00134898,0.00134898
