epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.9876,1.89557,2.93593,1.48829,0,0,0,0,1.76394,3.94001,1.42953,0.000470147,0.000470147,0.000470147
2,77.456,1.66689,1.30161,1.4603,0.61571,0.3405,0.48159,0.31003,1.61836,1.20568,1.42253,0.000942695,0.000942695,0.000942695
3,114.42,1.60352,1.14383,1.45097,0.90376,0.44131,0.67833,0.36235,1.67265,1.06832,1.42859,0.00141143,0.00141143,0.00141143
4,151.855,1.57021,1.0564,1.44983,0.86608,0.56006,0.72359,0.4112,1.56257,0.95959,1.405,0.00141185,0.00141185,0.00141185
5,189.129,1.51655,0.99294,1.43903,0.80125,0.57679,0.7083,0.3908,1.55522,0.94803,1.40202,0.00140614,0.00140614,0.00140614
6,226.139,1.52459,0.96775,1.4314,0.78793,0.55339,0.6899,0.36845,1.78205,0.96904,1.43351,0.00140042,0.00140042,0.00140042
7,263.431,1.47301,0.92295,1.42257,0.80349,0.49453,0.66736,0.38175,1.63131,0.95408,1.41526,0.0013947,0.0013947,0.0013947
8,300.26,1.47641,0.90014,1.4279,0.87005,0.5948,0.74251,0.41538,1.51177,0.88308,1.39642,0.00138899,0.00138899,0.00138899
9,337.081,1.44932,0.88472,1.41832,0.80416,0.61977,0.73933,0.40459,1.62043,0.91698,1.41369,0.00138327,0.00138327,0.00138327
10,373.992,1.42591,0.86851,1.41578,0.84745,0.56283,0.7242,0.41446,1.57017,0.8797,1.40267,0.00137756,0.00137756,0.00137756
11,410.79,1.43588,0.86364,1.42243,0.91237,0.59915,0.76762,0.44197,1.4961,0.84314,1.39456,0.00137184,0.00137184,0.00137184
12,447.743,1.42293,0.8505,1.41604,0.87754,0.60865,0.75085,0.44293,1.45354,0.85618,1.38988,0.00136612,0.00136612,0.00136612
13,484.489,1.38281,0.82692,1.40831,0.86166,0.62927,0.76314,0.42957,1.48477,0.81742,1.39197,0.00136041,0.00136041,0.00136041
14,521.45,1.38539,0.82627,1.40869,0.87063,0.6136,0.75776,0.41483,1.58117,0.8591,1.40323,0.00135469,0.00135469,0.00135469
15,558.6,1.40727,0.8258,1.40801,0.85221,0.5875,0.73437,0.42028,1.54947,0.82632,1.39886,0.00134898,0.00134898,0.00134898
16,595.518,1.38242,0.80853,1.40528,0.90727,0.6222,0.77189,0.45473,1.40336,0.78991,1.38269,0.00134326,0.00134326,0.00134326
17,632.666,1.37147,0.8088,1.40602,0.83628,0.58872,0.73064,0.42722,1.51492,0.83706,1.39372,0.00133754,0.00133754,0.00133754
18,669.877,1.37488,0.80992,1.40413,0.852,0.63467,0.76132,0.43408,1.47761,0.82696,1.38788,0.00133183,0.00133183,0.00133183
19,706.86,1.35875,0.79334,1.40398,0.88919,0.62973,0.77044,0.4547,1.39574,0.78707,1.37976,0.00132611,0.00132611,0.00132611
20,744.321,1.36572,0.79197,1.40106,0.86902,0.62932,0.76844,0.44547,1.50695,0.79792,1.39589,0.0013204,0.0013204,0.0013204
21,781.321,1.35489,0.78574,1.39993,0.86316,0.65464,0.77737,0.43413,1.48707,0.81055,1.39502,0.00131468,0.00131468,0.00131468
22,818.384,1.3549,0.78737,1.40232,0.86554,0.65319,0.77946,0.45357,1.42912,0.79854,1.38083,0.00130896,0.00130896,0.00130896
23,855.907,1.34507,0.78465,1.40027,0.89961,0.61015,0.76427,0.45336,1.42418,0.78371,1.382,0.00130325,0.00130325,0.00130325
24,893.118,1.34847,0.78273,1.39852,0.87245,0.62178,0.76114,0.42789,1.51638,0.80865,1.38618,0.00129753,0.00129753,0.00129753
25,930.361,1.33408,0.77311,1.39345,0.89624,0.61858,0.76779,0.44916,1.43911,0.8059,1.38114,0.00129182,0.00129182,0.00129182
26,968.016,1.3373,0.77038,1.39873,0.86776,0.61693,0.7581,0.44615,1.52428,0.79544,1.39756,0.0012861,0.0012861,0.0012861
27,1005.15,1.33932,0.77343,1.39573,0.84368,0.59777,0.73586,0.41984,1.55452,0.79803,1.39475,0.00128038,0.00128038,0.00128038
28,1042.03,1.3215,0.76244,1.39425,0.91004,0.58214,0.75174,0.44991,1.47702,0.77037,1.38719,0.00127467,0.00127467,0.00127467
