epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.5406,1.44595,1.96107,0.96781,0.97715,0.16536,0.4424,0.23521,1.49255,2.0563,1.07871,0.00330275,0.00330275,0.00330275
2,108.767,1.42465,1.08943,0.97936,0.85661,0.79015,0.83043,0.42909,1.3417,0.87148,1.10988,0.00661045,0.00661045,0.00661045
3,160.535,1.48432,1.05022,0.99746,0.84646,0.75815,0.80505,0.4086,1.42594,1.00159,1.17185,0.00989238,0.00989238,0.00989238
4,212.066,1.45075,0.99199,0.99684,0.80034,0.7619,0.79173,0.42177,1.40991,1.03158,1.18724,0.00988409,0.00988409,0.00988409
5,264.133,1.3728,0.85771,0.97619,0.86966,0.82428,0.84144,0.46852,1.38582,0.77331,1.17437,0.00984545,0.00984545,0.00984545
6,317.07,1.31841,0.80196,0.96657,0.89869,0.8061,0.83771,0.46763,1.30275,0.70283,1.13694,0.00980682,0.00980682,0.00980682
7,369.645,1.2841,0.75864,0.96523,0.87654,0.8061,0.83765,0.48538,1.32106,0.64397,1.12701,0.00976818,0.00976818,0.00976818
8,422.783,1.27552,0.72754,0.95609,0.86342,0.81986,0.84482,0.46571,1.33832,0.67455,1.13776,0.00972955,0.00972955,0.00972955
9,475.457,1.25218,0.70364,0.95408,0.87194,0.80813,0.83732,0.4804,1.29851,0.65231,1.13898,0.00969091,0.00969091,0.00969091
10,527.822,1.2249,0.68102,0.94935,0.78768,0.74916,0.80231,0.44488,1.33783,0.68723,1.13479,0.00965227,0.00965227,0.00965227
11,579.181,1.21752,0.66324,0.94065,0.84963,0.79434,0.81102,0.41192,1.44679,0.66931,1.16186,0.00961364,0.00961364,0.00961364
12,629.973,1.19796,0.64976,0.9384,0.84392,0.79381,0.79358,0.42376,1.47527,0.65534,1.2073,0.009575,0.009575,0.009575
13,680.505,1.18572,0.63795,0.94122,0.86987,0.84257,0.8541,0.48334,1.28843,0.60628,1.12887,0.00953636,0.00953636,0.00953636
14,730.866,1.186,0.63739,0.9331,0.84902,0.8113,0.81573,0.41699,1.43884,0.68348,1.17772,0.00949773,0.00949773,0.00949773
15,782.806,1.17284,0.62662,0.93416,0.91331,0.83881,0.87597,0.5002,1.30625,0.57883,1.12557,0.00945909,0.00945909,0.00945909
