epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,60.4537,1.79837,0.37947,1.23429,0.27122,0.01567,0.14229,0.06396,2.01266,0.26245,1.18154,0.00330579,0.00330579,0.00330579
2,118.727,1.82163,0.19426,1.24437,0.20272,0.13348,0.15781,0.07203,2.19633,0.19567,1.25345,0.00661347,0.00661347,0.00661347
3,175.558,1.90045,0.18637,1.26157,0.25746,0.14492,0.18625,0.06604,2.49499,0.17702,1.32856,0.00989539,0.00989539,0.00989539
4,232.122,1.85745,0.17882,1.25444,0.33787,0.25573,0.29517,0.13532,1.79958,0.1614,1.21648,0.00988409,0.00988409,0.00988409
5,290.172,1.72527,0.16222,1.23285,0.39491,0.34937,0.37051,0.21157,1.44386,0.12579,1.16032,0.00984545,0.00984545,0.00984545
6,347.324,1.63949,0.14891,1.208,0.50042,0.34552,0.4302,0.2454,1.5196,0.11972,1.15729,0.00980682,0.00980682,0.00980682
7,404.113,1.55688,0.13513,1.19813,0.51248,0.32231,0.42372,0.24334,1.66073,0.1193,1.18031,0.00976818,0.00976818,0.00976818
8,461.22,1.52871,0.12889,1.18587,0.82447,0.39784,0.6185,0.36546,1.35768,0.10401,1.14754,0.00972955,0.00972955,0.00972955
9,517.358,1.46758,0.12111,1.18358,0.77993,0.42549,0.61921,0.3889,1.3099,0.09591,1.13827,0.00969091,0.00969091,0.00969091
10,574.035,1.47387,0.1194,1.17647,0.76137,0.45101,0.62376,0.37628,1.31844,0.09258,1.13496,0.00965227,0.00965227,0.00965227
11,630.869,1.41898,0.11266,1.17736,0.65615,0.44824,0.57423,0.34338,1.40274,0.09504,1.14111,0.00961364,0.00961364,0.00961364
12,687.6,1.42882,0.1113,1.1708,0.8563,0.42291,0.65711,0.39042,1.39509,0.09356,1.15116,0.009575,0.009575,0.009575
13,744.159,1.39894,0.10687,1.16378,0.81709,0.47841,0.66572,0.40192,1.34786,0.08865,1.13816,0.00953636,0.00953636,0.00953636
14,800.535,1.38284,0.10524,1.16391,0.8113,0.44607,0.64616,0.39899,1.30923,0.08656,1.13295,0.00949773,0.00949773,0.00949773
15,856.786,1.37739,0.10417,1.16568,0.8295,0.48943,0.67777,0.4036,1.3802,0.08608,1.1351,0.00945909,0.00945909,0.00945909
16,913.72,1.35684,0.10099,1.16004,0.84173,0.49204,0.6823,0.42787,1.30076,0.08181,1.12538,0.00942045,0.00942045,0.00942045
17,970.684,1.34863,0.09923,1.15553,0.84308,0.46791,0.67838,0.41943,1.35961,0.0836,1.1258,0.00938182,0.00938182,0.00938182
