epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.5311,1.60379,2.62047,0.90346,0.0083,0.08606,0.03264,0.01687,1.41238,3.39167,0.84993,0.000464425,0.000464425,0.000464425
2,29.7098,1.41077,1.11152,0.85439,0.04247,0.45019,0.26289,0.15128,1.24958,2.35712,0.83904,0.000934549,0.000934549,0.000934549
3,42.8841,1.45522,1.02082,0.85549,0.8531,0.32893,0.39873,0.18488,1.72476,1.44013,0.86661,0.00139839,0.00139839,0.00139839
4,56.1973,1.40013,0.95899,0.848,0.84475,0.45582,0.56474,0.32311,1.25541,0.89556,0.83572,0.00140071,0.00140071,0.00140071
5,69.3598,1.3066,0.85351,0.83961,0.69277,0.62697,0.69118,0.41245,1.16451,0.74475,0.83531,0.00139127,0.00139127,0.00139127
6,82.5979,1.32765,0.80821,0.84422,0.7415,0.69892,0.75556,0.44389,1.19174,0.73035,0.84707,0.00138184,0.00138184,0.00138184
7,96.1476,1.26767,0.77137,0.83948,0.79021,0.68013,0.78275,0.48271,1.06739,0.73633,0.82452,0.00137241,0.00137241,0.00137241
8,109.178,1.24041,0.73302,0.8317,0.74835,0.65588,0.75562,0.43412,1.1144,0.71818,0.82325,0.00136298,0.00136298,0.00136298
9,122.251,1.22858,0.71485,0.83421,0.81792,0.78136,0.85191,0.50799,1.12529,0.68302,0.82988,0.00135355,0.00135355,0.00135355
10,135.343,1.18587,0.67757,0.82519,0.87474,0.85414,0.91356,0.58985,0.99219,0.57322,0.81521,0.00134412,0.00134412,0.00134412
11,148.363,1.18134,0.66315,0.82615,0.82157,0.74406,0.84433,0.53444,1.03131,0.60088,0.82264,0.00133469,0.00133469,0.00133469
12,161.412,1.19206,0.6547,0.82861,0.85889,0.80408,0.88752,0.57835,0.97609,0.58414,0.81224,0.00132525,0.00132525,0.00132525
13,174.445,1.12985,0.6285,0.82093,0.85773,0.84984,0.90628,0.59386,0.98881,0.59905,0.81141,0.00131582,0.00131582,0.00131582
14,187.486,1.12661,0.61836,0.82214,0.88299,0.75185,0.85489,0.53529,1.0035,0.58725,0.81366,0.00130639,0.00130639,0.00130639
15,200.594,1.12332,0.61857,0.8211,0.87661,0.7686,0.87458,0.56992,0.96019,0.59279,0.81475,0.00129696,0.00129696,0.00129696
16,213.525,1.11684,0.6039,0.81886,0.89278,0.82015,0.90664,0.6,0.96761,0.54981,0.81048,0.00128753,0.00128753,0.00128753
17,226.5,1.12674,0.5979,0.81835,0.87765,0.83038,0.91178,0.58876,0.94326,0.52635,0.80808,0.0012781,0.0012781,0.0012781
18,239.473,1.09802,0.57918,0.81589,0.88826,0.82581,0.91414,0.59323,0.95258,0.54107,0.80995,0.00126867,0.00126867,0.00126867
19,252.459,1.08527,0.58188,0.81536,0.84383,0.76602,0.86225,0.56321,0.92449,0.56128,0.80833,0.00125923,0.00125923,0.00125923
20,265.43,1.08692,0.56785,0.81608,0.90291,0.84557,0.93345,0.6253,0.93159,0.51765,0.80928,0.0012498,0.0012498,0.0012498
21,278.478,1.10508,0.57486,0.81588,0.88665,0.7552,0.88935,0.59713,0.9118,0.52619,0.8087,0.00124037,0.00124037,0.00124037
22,291.412,1.09608,0.57038,0.81727,0.87823,0.85765,0.92656,0.6149,0.92326,0.51617,0.80669,0.00123094,0.00123094,0.00123094
23,304.459,1.08234,0.55573,0.81522,0.88157,0.82605,0.9277,0.6218,0.90549,0.52243,0.80451,0.00122151,0.00122151,0.00122151
24,317.406,1.08014,0.55393,0.81298,0.92076,0.86365,0.94815,0.64343,0.87851,0.48863,0.80401,0.00121208,0.00121208,0.00121208
25,330.431,1.06971,0.54828,0.81333,0.9061,0.82884,0.91575,0.58775,0.98819,0.53344,0.82143,0.00120265,0.00120265,0.00120265
26,343.496,1.06941,0.54538,0.81295,0.91927,0.81064,0.91439,0.5989,0.88815,0.50891,0.80336,0.00119322,0.00119322,0.00119322
