epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.3416,1.58013,2.13761,0.89033,0.66975,0.25885,0.21398,0.11249,1.36791,2.36743,0.85571,0.000412326,0.000412326,0.000412326
2,39.4759,1.40542,1.09257,0.85007,0.63236,0.33978,0.36013,0.2152,1.25624,0.89413,0.85146,0.000812579,0.000812579,0.000812579
3,57.1834,1.354,0.95901,0.8446,0.75729,0.49959,0.53171,0.29175,1.38601,0.86388,0.85397,0.00119633,0.00119633,0.00119633
4,74.7172,1.33301,0.85505,0.84261,0.80348,0.54812,0.58488,0.35724,1.16818,0.72431,0.83935,0.00117575,0.00117575,0.00117575
5,91.9856,1.26619,0.79,0.83551,0.81145,0.55011,0.60888,0.37024,1.10245,0.69038,0.83364,0.001151,0.001151,0.001151
6,109.374,1.21686,0.74131,0.82896,0.83814,0.58283,0.6839,0.40552,1.1425,0.65538,0.83464,0.00112625,0.00112625,0.00112625
7,126.814,1.26305,0.73176,0.83118,0.84501,0.63007,0.70447,0.43479,1.03407,0.63323,0.83136,0.0011015,0.0011015,0.0011015
8,144.147,1.16083,0.67409,0.82462,0.74332,0.63978,0.70093,0.43871,0.99284,0.59847,0.82727,0.00107675,0.00107675,0.00107675
9,161.351,1.16381,0.66812,0.82299,0.81397,0.63929,0.71424,0.40656,1.10151,0.63265,0.82919,0.001052,0.001052,0.001052
10,178.671,1.16287,0.6527,0.82352,0.7604,0.67103,0.71068,0.43468,1.00252,0.6077,0.82722,0.00102725,0.00102725,0.00102725
11,195.977,1.17931,0.64347,0.82494,0.83004,0.65963,0.73235,0.44663,1.02216,0.59136,0.82459,0.0010025,0.0010025,0.0010025
12,213.367,1.13987,0.6229,0.81925,0.87564,0.63742,0.71038,0.43837,1.00218,0.55968,0.8218,0.00097775,0.00097775,0.00097775
13,230.897,1.12133,0.6124,0.81767,0.83997,0.67234,0.7308,0.44909,1.0015,0.56788,0.82373,0.000953,0.000953,0.000953
14,248.719,1.109,0.60441,0.81841,0.82696,0.67478,0.71537,0.45201,1.00028,0.5785,0.82185,0.00092825,0.00092825,0.00092825
15,266.509,1.13674,0.60438,0.8187,0.82023,0.65131,0.71062,0.45135,0.9698,0.54684,0.82491,0.0009035,0.0009035,0.0009035
16,284.177,1.11231,0.58519,0.81603,0.82884,0.61129,0.69717,0.43739,0.97241,0.55627,0.82191,0.00087875,0.00087875,0.00087875
17,301.965,1.07972,0.57229,0.81369,0.82695,0.66835,0.71966,0.44052,1.02316,0.55983,0.82111,0.000854,0.000854,0.000854
18,319.723,1.0778,0.571,0.81525,0.85663,0.65753,0.72177,0.45275,0.95203,0.53236,0.82298,0.00082925,0.00082925,0.00082925
19,337.428,1.07118,0.57331,0.81248,0.85345,0.64927,0.72543,0.44789,0.94908,0.5378,0.81869,0.0008045,0.0008045,0.0008045
20,355.231,1.05329,0.55675,0.80985,0.79659,0.71879,0.7562,0.46337,0.93745,0.52269,0.81725,0.00077975,0.00077975,0.00077975
21,372.762,1.05615,0.55363,0.81373,0.81603,0.69552,0.75161,0.48027,0.91906,0.51465,0.82059,0.000755,0.000755,0.000755
22,390.086,1.02878,0.54618,0.81202,0.90164,0.67941,0.73941,0.45584,0.94692,0.53631,0.81438,0.00073025,0.00073025,0.00073025
