epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.7156,1.587,2.24448,0.89667,0.03684,0.34629,0.18039,0.08828,1.48075,2.68458,0.85769,0.000411458,0.000411458,0.000411458
2,33.3296,1.45321,1.15542,0.85726,0.57942,0.26583,0.27538,0.16366,1.25484,1.14251,0.83713,0.000817194,0.000817194,0.000817194
3,48.6832,1.44494,1.05722,0.85491,0.58218,0.35307,0.353,0.21846,1.16863,0.84955,0.83206,0.00121193,0.00121193,0.00121193
4,63.4651,1.36533,0.94084,0.8464,0.7589,0.47584,0.51854,0.30429,1.15051,0.7906,0.83633,0.0012005,0.0012005,0.0012005
5,78.5551,1.2736,0.8387,0.83951,0.81372,0.53307,0.58712,0.37283,1.08402,0.70133,0.82699,0.001184,0.001184,0.001184
6,93.684,1.28276,0.7859,0.83695,0.86174,0.58179,0.64568,0.38982,1.10533,0.67692,0.82112,0.0011675,0.0011675,0.0011675
7,108.913,1.25107,0.75329,0.83458,0.86782,0.59256,0.65979,0.40524,1.08022,0.64123,0.82004,0.001151,0.001151,0.001151
8,123.969,1.22052,0.72812,0.83144,0.90584,0.59739,0.68816,0.43504,1.02456,0.60751,0.8188,0.0011345,0.0011345,0.0011345
9,138.925,1.18329,0.695,0.82657,0.89722,0.58122,0.68086,0.41111,1.07119,0.62683,0.82985,0.001118,0.001118,0.001118
10,153.865,1.19863,0.69021,0.82452,0.82623,0.56584,0.67936,0.41914,1.02271,0.61452,0.81793,0.0011015,0.0011015,0.0011015
11,169.088,1.14788,0.65682,0.82434,0.82745,0.64381,0.72295,0.46321,0.99283,0.55377,0.81362,0.001085,0.001085,0.001085
12,184.25,1.16195,0.65122,0.82499,0.83794,0.64938,0.72461,0.44702,1.01433,0.57704,0.81685,0.0010685,0.0010685,0.0010685
13,199.516,1.13153,0.63606,0.82078,0.79415,0.65909,0.71113,0.45046,0.98468,0.56891,0.80906,0.001052,0.001052,0.001052
14,214.735,1.16187,0.64175,0.82489,0.77831,0.64422,0.69216,0.43241,1.0269,0.58244,0.81373,0.0010355,0.0010355,0.0010355
15,230.027,1.14419,0.62499,0.82168,0.88116,0.63721,0.73103,0.47523,0.93738,0.53883,0.80791,0.001019,0.001019,0.001019
16,245.182,1.12946,0.61638,0.8214,0.83067,0.66229,0.73173,0.46247,0.96152,0.5535,0.81112,0.0010025,0.0010025,0.0010025
17,260.563,1.11782,0.61574,0.81811,0.81557,0.68779,0.74438,0.47728,0.93905,0.53755,0.81006,0.000986,0.000986,0.000986
18,275.566,1.13861,0.60824,0.81914,0.88671,0.64491,0.73223,0.4699,0.9469,0.55582,0.80945,0.0009695,0.0009695,0.0009695
19,290.7,1.07066,0.58154,0.81618,0.85977,0.65438,0.74085,0.46906,0.96453,0.5414,0.80863,0.000953,0.000953,0.000953
20,305.728,1.07611,0.58246,0.81571,0.83727,0.69271,0.75693,0.48745,0.94627,0.52754,0.8082,0.0009365,0.0009365,0.0009365
21,320.743,1.10078,0.58514,0.81458,0.80022,0.67227,0.73035,0.45692,0.99174,0.54273,0.80943,0.00092,0.00092,0.00092
22,335.756,1.07602,0.57366,0.81425,0.84307,0.69554,0.75234,0.48941,0.90094,0.51114,0.80405,0.0009035,0.0009035,0.0009035
23,350.794,1.05216,0.55344,0.81219,0.82895,0.72891,0.77197,0.49978,0.89861,0.50714,0.80324,0.000887,0.000887,0.000887
24,366.008,1.0409,0.54245,0.81067,0.81577,0.69882,0.75798,0.4961,0.88603,0.50264,0.80338,0.0008705,0.0008705,0.0008705
25,381.296,1.04426,0.55299,0.81264,0.81984,0.70473,0.76357,0.50394,0.90198,0.50403,0.80311,0.000854,0.000854,0.000854
