epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.258,1.76501,1.63321,0.9206,1e-05,0.00011,1e-05,0,nan,nan,nan,0.070375,0.00329167,0.00329167
2,37.5901,1.68597,0.99872,0.89332,0.54283,0.26721,0.16561,0.07366,1.74803,1.8812,0.93173,0.0402876,0.00653755,0.00653755
3,52.4224,1.63793,0.94682,0.89244,0.34046,0.38649,0.33931,0.1767,1.47378,1.32133,0.86551,0.0101121,0.00969543,0.00969543
4,66.9293,1.58691,0.91438,0.89087,0.32006,0.40836,0.34749,0.17547,1.54033,1.13923,0.88987,0.009604,0.009604,0.009604
5,81.6582,1.54796,0.88873,0.88061,0.77054,0.40738,0.43578,0.2277,1.53419,1.24813,0.89255,0.009472,0.009472,0.009472
6,96.245,1.4968,0.85251,0.87035,0.45405,0.50961,0.47626,0.26812,1.3358,0.91874,0.85441,0.00934,0.00934,0.00934
7,110.864,1.41931,0.81703,0.86174,0.6731,0.60748,0.65688,0.38046,1.20578,0.79029,0.84874,0.009208,0.009208,0.009208
8,125.432,1.35492,0.76278,0.8554,0.7162,0.58435,0.6457,0.38344,1.23469,0.84412,0.84659,0.009076,0.009076,0.009076
9,140.069,1.32287,0.72708,0.84996,0.68901,0.64404,0.69703,0.41611,1.2808,0.74925,0.8452,0.008944,0.008944,0.008944
10,154.717,1.34029,0.72398,0.85221,0.70118,0.66124,0.72698,0.43489,1.15622,0.72309,0.84004,0.008812,0.008812,0.008812
11,169.269,1.29069,0.72951,0.84688,0.71129,0.68986,0.7318,0.44921,1.09061,0.69502,0.82827,0.00868,0.00868,0.00868
12,184.001,1.26307,0.69352,0.84171,0.73929,0.67271,0.71575,0.43175,1.17261,0.7091,0.83378,0.008548,0.008548,0.008548
13,198.682,1.22762,0.67061,0.83857,0.83372,0.6905,0.80033,0.50142,1.06271,0.63351,0.82239,0.008416,0.008416,0.008416
14,213.261,1.19882,0.66196,0.83463,0.73381,0.6733,0.74365,0.47435,1.07105,0.64945,0.8272,0.008284,0.008284,0.008284
15,227.916,1.23849,0.66917,0.84009,0.79572,0.75582,0.82192,0.51226,1.05952,0.64083,0.82564,0.008152,0.008152,0.008152
16,242.466,1.27647,0.67032,0.83756,0.63944,0.62862,0.66477,0.34255,1.41218,0.74518,0.85365,0.00802,0.00802,0.00802
17,256.993,1.1992,0.64338,0.83445,0.8657,0.81537,0.88724,0.57719,1.02255,0.58534,0.82126,0.007888,0.007888,0.007888
18,271.549,1.19175,0.63594,0.83026,0.78606,0.72206,0.79231,0.49171,1.01715,0.6045,0.82448,0.007756,0.007756,0.007756
19,286.494,1.15929,0.61087,0.8289,0.73534,0.72356,0.76059,0.44404,1.22911,0.66533,0.84897,0.007624,0.007624,0.007624
20,301.122,1.13586,0.61032,0.82705,0.78734,0.80043,0.84927,0.55928,0.97509,0.56629,0.8142,0.007492,0.007492,0.007492
21,315.732,1.13767,0.60054,0.82626,0.80139,0.78056,0.83759,0.52481,1.10164,0.62764,0.82652,0.00736,0.00736,0.00736
22,330.432,1.12154,0.59743,0.82581,0.82078,0.84363,0.87757,0.55562,1.02807,0.56322,0.8159,0.007228,0.007228,0.007228
23,345.052,1.1378,0.58987,0.82357,0.85221,0.86676,0.9111,0.61409,0.95081,0.54219,0.81128,0.007096,0.007096,0.007096
24,359.579,1.13253,0.58387,0.82613,0.87282,0.85296,0.90693,0.61523,0.91449,0.52426,0.81053,0.006964,0.006964,0.006964
25,374.094,1.07667,0.56566,0.82418,0.81632,0.7228,0.80984,0.51406,1.01404,0.57964,0.81595,0.006832,0.006832,0.006832
26,388.782,1.08142,0.57428,0.81869,0.87075,0.79613,0.8961,0.58383,0.95264,0.55703,0.81165,0.0067,0.0067,0.0067
27,403.314,1.0886,0.57126,0.82034,0.8386,0.79635,0.86124,0.53641,1.01734,0.55025,0.81948,0.006568,0.006568,0.006568
28,417.961,1.10554,0.58212,0.82168,0.89561,0.85285,0.92407,0.61328,0.9465,0.53279,0.81004,0.006436,0.006436,0.006436
29,432.537,1.05914,0.55779,0.8167,0.82995,0.84361,0.90466,0.61671,0.92507,0.50806,0.80888,0.006304,0.006304,0.006304
30,447.191,1.09127,0.56161,0.81835,0.86041,0.85042,0.91946,0.61118,0.98489,0.52248,0.80955,0.006172,0.006172,0.006172
31,461.789,1.06786,0.55016,0.82009,0.82305,0.79224,0.87234,0.58589,0.88968,0.51798,0.80598,0.00604,0.00604,0.00604
32,476.423,1.04507,0.54094,0.81415,0.88845,0.87186,0.93752,0.62834,0.91801,0.49542,0.80472,0.005908,0.005908,0.005908
33,491.152,1.04662,0.54249,0.81483,0.89823,0.86389,0.92994,0.63969,0.86477,0.48211,0.80364,0.005776,0.005776,0.005776
34,505.599,1.01511,0.5329,0.81224,0.88649,0.81891,0.90884,0.6203,0.86666,0.49259,0.80381,0.005644,0.005644,0.005644
35,520.079,1.05823,0.54838,0.81438,0.87678,0.83198,0.91364,0.62016,0.88023,0.49654,0.80762,0.005512,0.005512,0.005512
36,534.547,1.01303,0.53372,0.81484,0.92809,0.85823,0.94095,0.65563,0.86034,0.48316,0.80397,0.00538,0.00538,0.00538
37,549.281,1.03452,0.53981,0.81388,0.86247,0.84903,0.91695,0.63544,0.88899,0.49854,0.8057,0.005248,0.005248,0.005248
38,563.746,1.01291,0.52698,0.81207,0.84884,0.86065,0.90623,0.62433,0.88028,0.50931,0.80338,0.005116,0.005116,0.005116
39,578.146,1.02704,0.53152,0.81442,0.89953,0.85351,0.9308,0.64568,0.86713,0.47316,0.80533,0.004984,0.004984,0.004984
40,592.698,1.0213,0.52501,0.81305,0.91862,0.89519,0.95578,0.66666,0.83657,0.45766,0.80209,0.004852,0.004852,0.004852
41,607.578,0.98576,0.50414,0.80887,0.9086,0.87606,0.95138,0.66228,0.85731,0.46256,0.80231,0.00472,0.00472,0.00472
42,622.049,1.00911,0.51597,0.81085,0.88501,0.8677,0.92663,0.64652,0.86684,0.4736,0.80339,0.004588,0.004588,0.004588
43,636.675,1.00326,0.51373,0.80822,0.91054,0.88515,0.94596,0.66112,0.83199,0.45207,0.80067,0.004456,0.004456,0.004456
44,651.134,1.00678,0.51181,0.80946,0.91918,0.85635,0.93508,0.6482,0.85001,0.46405,0.80384,0.004324,0.004324,0.004324
45,665.518,0.99663,0.50321,0.80871,0.92541,0.89381,0.95212,0.67616,0.82368,0.44579,0.80124,0.004192,0.004192,0.004192
46,680.029,0.97999,0.49692,0.80708,0.90336,0.86163,0.94121,0.66005,0.83214,0.45855,0.79925,0.00406,0.00406,0.00406
47,694.375,0.9766,0.4943,0.80896,0.92739,0.88547,0.95391,0.68232,0.825,0.44939,0.79983,0.003928,0.003928,0.003928
48,708.859,0.97377,0.49643,0.80821,0.93674,0.87066,0.94479,0.65923,0.82658,0.44685,0.79947,0.003796,0.003796,0.003796
49,723.265,0.97511,0.49235,0.80821,0.93542,0.87334,0.94466,0.67063,0.83203,0.45227,0.79915,0.003664,0.003664,0.003664
50,738.038,0.98026,0.49407,0.8073,0.90261,0.87417,0.94264,0.67565,0.79274,0.43868,0.79712,0.003532,0.003532,0.003532
51,752.648,0.98405,0.49109,0.80442,0.9414,0.88335,0.95012,0.67283,0.84198,0.44407,0.80033,0.0034,0.0034,0.0034
52,767.31,0.96121,0.48359,0.80676,0.91867,0.89541,0.95817,0.68471,0.80114,0.43212,0.79688,0.003268,0.003268,0.003268
53,782.115,0.97241,0.48373,0.80478,0.92458,0.89005,0.9552,0.69204,0.78809,0.42845,0.79757,0.003136,0.003136,0.003136
54,796.771,0.94583,0.47294,0.8043,0.95543,0.86675,0.95701,0.6894,0.79654,0.42938,0.79691,0.003004,0.003004,0.003004
55,811.254,0.95439,0.48045,0.80785,0.8957,0.90103,0.94815,0.68113,0.79497,0.43474,0.79591,0.002872,0.002872,0.002872
56,825.705,0.9564,0.47891,0.80488,0.9242,0.89056,0.95623,0.68087,0.80048,0.43061,0.79658,0.00274,0.00274,0.00274
57,840.233,0.94724,0.47638,0.80471,0.89299,0.89157,0.94924,0.67762,0.80212,0.43996,0.79714,0.002608,0.002608,0.002608
58,854.635,0.95107,0.47722,0.8035,0.94255,0.89191,0.96182,0.69413,0.80452,0.4269,0.7962,0.002476,0.002476,0.002476
59,869.293,0.93506,0.4698,0.80273,0.93563,0.90014,0.96695,0.69917,0.76748,0.41553,0.7941,0.002344,0.002344,0.002344
60,883.991,0.92748,0.46975,0.80352,0.88859,0.88639,0.94681,0.64917,0.84499,0.45623,0.80173,0.002212,0.002212,0.002212
61,898.659,0.92413,0.46658,0.80506,0.93299,0.90669,0.96081,0.69672,0.77193,0.42336,0.79487,0.00208,0.00208,0.00208
62,912.925,0.92651,0.46392,0.80174,0.94012,0.89452,0.96419,0.70257,0.7683,0.41073,0.79456,0.001948,0.001948,0.001948
63,927.487,0.92412,0.46509,0.80448,0.92677,0.9014,0.96246,0.69283,0.79619,0.423,0.79457,0.001816,0.001816,0.001816
64,942.122,0.93364,0.4669,0.80275,0.93964,0.89025,0.96123,0.68679,0.78772,0.42251,0.79489,0.001684,0.001684,0.001684
65,956.968,0.93209,0.46354,0.80218,0.93555,0.91001,0.96018,0.6996,0.76471,0.40875,0.79367,0.001552,0.001552,0.001552
66,995.888,0.85047,0.44001,0.80347,0.9087,0.8729,0.94763,0.66712,0.79601,0.43122,0.79603,0.00142,0.00142,0.00142
67,1009.62,0.84313,0.43522,0.80474,0.94068,0.90145,0.96668,0.69217,0.78368,0.41556,0.79561,0.001288,0.001288,0.001288
68,1023.46,0.82923,0.42586,0.80197,0.91657,0.90438,0.95707,0.69201,0.76863,0.41238,0.79318,0.001156,0.001156,0.001156
69,1037.19,0.82583,0.42446,0.79996,0.94117,0.89759,0.96349,0.69675,0.76318,0.4058,0.79334,0.001024,0.001024,0.001024
70,1050.79,0.82295,0.42019,0.80113,0.90381,0.93073,0.96333,0.69546,0.76187,0.40681,0.79271,0.000892,0.000892,0.000892
71,1064.55,0.82106,0.42088,0.80075,0.94033,0.89972,0.96187,0.70186,0.76149,0.40412,0.79315,0.00076,0.00076,0.00076
72,1078.23,0.81547,0.4191,0.80021,0.94527,0.88551,0.96148,0.69937,0.75831,0.40226,0.79268,0.000628,0.000628,0.000628
73,1092.08,0.81211,0.41473,0.79988,0.93153,0.90925,0.96491,0.70508,0.75872,0.40145,0.79265,0.000496,0.000496,0.000496
74,1105.73,0.81451,0.41374,0.79838,0.94808,0.90955,0.96941,0.71167,0.74569,0.39668,0.79154,0.000364,0.000364,0.000364
75,1119.66,0.80867,0.40913,0.80004,0.95853,0.895,0.96722,0.7115,0.74265,0.39503,0.79098,0.000232,0.000232,0.000232
