epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.0992,1.73479,1.61724,0.91794,0.3815,0.14914,0.04964,0.01956,2.0535,1.99398,1.03345,0.070375,0.00329167,0.00329167
2,32.2991,1.6135,0.97999,0.88709,0.35635,0.02323,0.00478,0.00102,5.05861,4.74126,2.75348,0.0402876,0.00653755,0.00653755
3,47.1378,1.67821,0.985,0.8982,0.65826,0.29871,0.2884,0.14641,1.54332,1.67187,0.88731,0.0101121,0.00969543,0.00969543
4,61.6127,1.62606,0.93607,0.89526,0.64673,0.31544,0.28372,0.12995,1.71398,1.22069,0.91691,0.009604,0.009604,0.009604
5,76.2342,1.54345,0.86951,0.87674,0.80845,0.44953,0.59084,0.33556,1.3339,0.83739,0.86407,0.009472,0.009472,0.009472
6,90.7024,1.42795,0.81486,0.86636,0.62076,0.53313,0.57813,0.31963,1.31135,0.91152,0.85931,0.00934,0.00934,0.00934
7,105.323,1.42474,0.78439,0.86124,0.60664,0.6822,0.66885,0.39417,1.23823,0.9458,0.84944,0.009208,0.009208,0.009208
8,119.872,1.36365,0.75354,0.85641,0.61569,0.60059,0.63619,0.35565,1.30801,0.90165,0.86768,0.009076,0.009076,0.009076
9,134.486,1.31255,0.72279,0.85063,0.65263,0.6547,0.69426,0.42222,1.16714,0.72983,0.84,0.008944,0.008944,0.008944
10,149.031,1.305,0.72699,0.84785,0.588,0.62308,0.65024,0.38268,1.23745,0.82622,0.85566,0.008812,0.008812,0.008812
11,163.461,1.3086,0.72648,0.84982,0.81961,0.68391,0.77832,0.48187,1.10003,0.67006,0.83254,0.00868,0.00868,0.00868
12,177.926,1.2253,0.67729,0.83844,0.72879,0.70483,0.76725,0.45537,1.17802,0.69207,0.85375,0.008548,0.008548,0.008548
13,192.453,1.23691,0.67165,0.83902,0.71016,0.74977,0.80108,0.50798,1.04596,0.6485,0.82233,0.008416,0.008416,0.008416
14,206.804,1.19441,0.64382,0.83462,0.81883,0.71719,0.8156,0.51834,1.0337,0.61419,0.81883,0.008284,0.008284,0.008284
15,221.29,1.19314,0.63934,0.83736,0.81043,0.75348,0.8205,0.50118,1.10944,0.62074,0.82831,0.008152,0.008152,0.008152
16,235.833,1.23615,0.65816,0.83381,0.83328,0.68614,0.82429,0.52219,1.05261,0.62646,0.82114,0.00802,0.00802,0.00802
17,250.228,1.14584,0.61434,0.8271,0.8674,0.78199,0.8853,0.57665,1.01678,0.55881,0.81838,0.007888,0.007888,0.007888
18,264.734,1.15035,0.61135,0.82713,0.7253,0.74418,0.80596,0.52842,0.9865,0.7044,0.81797,0.007756,0.007756,0.007756
19,279.236,1.15039,0.61069,0.82701,0.72424,0.69756,0.75862,0.38537,1.35247,0.72405,0.85471,0.007624,0.007624,0.007624
20,293.693,1.11313,0.59246,0.82536,0.80412,0.8102,0.86929,0.57408,0.93509,0.54293,0.81325,0.007492,0.007492,0.007492
21,308.207,1.13476,0.60239,0.82619,0.78479,0.73967,0.82088,0.50857,1.07797,0.62113,0.82978,0.00736,0.00736,0.00736
22,322.668,1.11711,0.59997,0.82692,0.73107,0.7146,0.7567,0.49653,1.0111,0.61337,0.81774,0.007228,0.007228,0.007228
23,337.21,1.1063,0.58433,0.82372,0.88158,0.82,0.90531,0.60328,0.95596,0.53071,0.81073,0.007096,0.007096,0.007096
24,351.733,1.12426,0.58772,0.82577,0.86664,0.78785,0.89028,0.5958,0.9361,0.53538,0.81188,0.006964,0.006964,0.006964
25,366.255,1.08222,0.56919,0.82374,0.87327,0.78975,0.87497,0.58641,0.93734,0.54073,0.81037,0.006832,0.006832,0.006832
