epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.2662,1.55779,2.16003,0.8889,0.0414,0.36672,0.20371,0.11689,1.35729,2.61483,0.84616,0.000470379,0.000470379,0.000470379
2,34.0606,1.44051,1.09195,0.85519,0.73154,0.37766,0.40174,0.21121,1.57096,1.10262,0.86058,0.000934216,0.000934216,0.000934216
3,49.6257,1.44035,0.98839,0.85376,0.8073,0.46064,0.50066,0.3108,1.18833,0.86749,0.84653,0.00138548,0.00138548,0.00138548
4,64.6366,1.38461,0.91298,0.84863,0.51635,0.58893,0.61381,0.34837,1.31611,0.8115,0.83518,0.00137241,0.00137241,0.00137241
5,79.434,1.35802,0.84217,0.84389,0.75396,0.63883,0.73347,0.4632,1.06517,0.70296,0.8224,0.00135355,0.00135355,0.00135355
6,94.4128,1.25805,0.78279,0.83657,0.80177,0.68146,0.76906,0.48013,1.13328,0.70036,0.83082,0.00133469,0.00133469,0.00133469
7,109.394,1.24365,0.7478,0.83168,0.89546,0.77201,0.87281,0.54141,1.0329,0.61448,0.81897,0.00131582,0.00131582,0.00131582
8,124.44,1.2335,0.71607,0.83197,0.87031,0.76794,0.87119,0.51268,1.11274,0.62636,0.83194,0.00129696,0.00129696,0.00129696
9,138.894,1.19299,0.68972,0.83119,0.83757,0.78065,0.85988,0.54652,1.03353,0.59985,0.81808,0.0012781,0.0012781,0.0012781
10,153.907,1.17347,0.66557,0.82538,0.85332,0.82604,0.89972,0.57745,1.04217,0.58786,0.81993,0.00125923,0.00125923,0.00125923
11,168.368,1.17606,0.65817,0.82677,0.83261,0.84323,0.90137,0.58771,0.99137,0.57442,0.81597,0.00124037,0.00124037,0.00124037
12,182.871,1.13104,0.62234,0.82151,0.87343,0.83998,0.9119,0.59292,0.93864,0.54419,0.81103,0.00122151,0.00122151,0.00122151
13,197.495,1.13029,0.62539,0.82058,0.86101,0.85915,0.91165,0.59488,0.98456,0.54077,0.81143,0.00120265,0.00120265,0.00120265
14,212.253,1.10992,0.611,0.8183,0.8927,0.84293,0.91496,0.60081,0.97058,0.55121,0.80946,0.00118378,0.00118378,0.00118378
15,226.829,1.11128,0.60644,0.8205,0.90296,0.82841,0.92318,0.61661,0.9429,0.53387,0.81007,0.00116492,0.00116492,0.00116492
16,242.03,1.1109,0.59732,0.81679,0.91423,0.84659,0.92657,0.61749,0.92212,0.52135,0.80576,0.00114606,0.00114606,0.00114606
17,257.243,1.13563,0.60245,0.8191,0.92628,0.83361,0.93406,0.62107,0.93684,0.52369,0.81004,0.0011272,0.0011272,0.0011272
18,272.399,1.0836,0.58136,0.8151,0.87245,0.82349,0.90831,0.61296,0.92147,0.52053,0.8083,0.00110833,0.00110833,0.00110833
19,287.45,1.08217,0.5729,0.81573,0.88523,0.8531,0.93067,0.61582,0.94669,0.50823,0.8093,0.00108947,0.00108947,0.00108947
20,302.123,1.1105,0.58107,0.8192,0.86475,0.84153,0.92079,0.62471,0.91121,0.53908,0.80541,0.00107061,0.00107061,0.00107061
21,317.49,1.11201,0.58233,0.8163,0.89829,0.86145,0.93404,0.63054,0.91539,0.51381,0.80617,0.00105174,0.00105174,0.00105174
22,332.041,1.04949,0.55435,0.81287,0.93934,0.85948,0.94814,0.6444,0.88158,0.49245,0.80212,0.00103288,0.00103288,0.00103288
23,346.711,1.04253,0.5456,0.81023,0.92417,0.87267,0.95027,0.65429,0.88738,0.49497,0.80215,0.00101402,0.00101402,0.00101402
24,361.528,1.06648,0.54623,0.81272,0.89158,0.86731,0.94154,0.64332,0.91491,0.50106,0.80361,0.000995156,0.000995156,0.000995156
25,376.293,1.03381,0.53785,0.81256,0.85333,0.88141,0.93863,0.64485,0.89295,0.50613,0.80253,0.000976293,0.000976293,0.000976293
26,391.299,1.0291,0.53383,0.80889,0.9239,0.89327,0.95137,0.65723,0.86442,0.4748,0.80084,0.00095743,0.00095743,0.00095743
27,406.094,1.0326,0.53179,0.80889,0.91669,0.87574,0.94427,0.64971,0.88552,0.48312,0.80207,0.000938567,0.000938567,0.000938567
28,420.942,1.0218,0.52986,0.80884,0.93626,0.86133,0.95115,0.66621,0.86378,0.47457,0.80144,0.000919704,0.000919704,0.000919704
29,435.791,1.02638,0.53293,0.80798,0.95296,0.87842,0.95985,0.67536,0.85609,0.47118,0.79898,0.000900842,0.000900842,0.000900842
30,450.646,1.0331,0.53598,0.80937,0.93377,0.87052,0.94857,0.65214,0.89636,0.48602,0.80242,0.000881979,0.000881979,0.000881979
31,465.399,1.02224,0.51845,0.80907,0.92523,0.88071,0.95245,0.67141,0.84662,0.46462,0.79985,0.000863116,0.000863116,0.000863116
32,479.949,0.999,0.50664,0.80464,0.94252,0.89065,0.95964,0.66797,0.86569,0.46675,0.8006,0.000844253,0.000844253,0.000844253
33,494.507,1.00464,0.51391,0.80566,0.91919,0.92318,0.96099,0.67656,0.85096,0.46696,0.79725,0.00082539,0.00082539,0.00082539
34,509.023,0.99455,0.50616,0.80546,0.94049,0.91146,0.9634,0.67889,0.84457,0.46061,0.79802,0.000806528,0.000806528,0.000806528
35,523.679,1.03518,0.52079,0.80689,0.92929,0.89238,0.96022,0.6568,0.8675,0.47732,0.79861,0.000787665,0.000787665,0.000787665
36,538.183,0.97993,0.49943,0.80581,0.93841,0.92805,0.96776,0.68959,0.82924,0.44562,0.79745,0.000768802,0.000768802,0.000768802
37,552.726,0.99047,0.50504,0.80514,0.93554,0.88533,0.95602,0.66972,0.86416,0.4706,0.80026,0.000749939,0.000749939,0.000749939
38,567.183,0.98592,0.50696,0.80518,0.91564,0.91758,0.96457,0.67705,0.83161,0.45121,0.79663,0.000731076,0.000731076,0.000731076
39,581.841,0.98258,0.50016,0.8054,0.93718,0.92086,0.97034,0.6892,0.83573,0.45075,0.79707,0.000712214,0.000712214,0.000712214
40,596.415,0.97539,0.49188,0.80403,0.92652,0.9344,0.97048,0.69843,0.81449,0.43847,0.79513,0.000693351,0.000693351,0.000693351
41,611.193,0.96321,0.48741,0.80203,0.92047,0.90712,0.96332,0.67453,0.83717,0.44933,0.79672,0.000674488,0.000674488,0.000674488
42,625.714,0.98518,0.49197,0.80346,0.92645,0.91446,0.96914,0.69057,0.82785,0.44084,0.79771,0.000655625,0.000655625,0.000655625
43,640.499,0.97891,0.48716,0.80206,0.94619,0.92158,0.97437,0.70507,0.80262,0.42993,0.79466,0.000636762,0.000636762,0.000636762
44,655.4,0.9569,0.48046,0.80141,0.95352,0.91686,0.97296,0.69103,0.80803,0.43525,0.79578,0.0006179,0.0006179,0.0006179
45,670.152,0.96775,0.48496,0.80225,0.93414,0.8805,0.9615,0.67955,0.82816,0.44994,0.79502,0.000599037,0.000599037,0.000599037
46,684.596,0.96255,0.48233,0.80175,0.94242,0.91875,0.97303,0.70399,0.80104,0.4275,0.79374,0.000580174,0.000580174,0.000580174
47,699.226,0.94708,0.47612,0.80219,0.94774,0.93302,0.96981,0.6958,0.80103,0.42936,0.79378,0.000561311,0.000561311,0.000561311
48,713.669,0.94201,0.47438,0.80132,0.95764,0.90717,0.97422,0.70415,0.79052,0.42565,0.79331,0.000542448,0.000542448,0.000542448
49,728.218,0.94223,0.4731,0.80118,0.94888,0.92252,0.97339,0.70141,0.79272,0.42685,0.79261,0.000523586,0.000523586,0.000523586
50,742.66,0.94267,0.47319,0.80032,0.93953,0.92418,0.97192,0.70287,0.79514,0.42626,0.79353,0.000504723,0.000504723,0.000504723
51,757.209,0.956,0.47382,0.79832,0.94625,0.93043,0.97522,0.70132,0.79463,0.42435,0.79371,0.00048586,0.00048586,0.00048586
52,771.649,0.9384,0.46505,0.79993,0.95156,0.93234,0.97704,0.70102,0.82231,0.42545,0.79351,0.000466997,0.000466997,0.000466997
53,786.14,0.93445,0.46288,0.7983,0.95691,0.93657,0.976,0.7035,0.79447,0.42169,0.79183,0.000448134,0.000448134,0.000448134
