epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.8484,1.74638,1.62265,0.91521,0.232,0.2119,0.16043,0.06745,1.89575,2.56474,0.94612,0.070375,0.00329167,0.00329167
2,32.1681,1.6157,0.98001,0.88878,0.21285,0.23044,0.14499,0.05363,2.62133,2.14327,1.20873,0.0402876,0.00653755,0.00653755
3,47.0662,1.6673,0.96046,0.89792,0.73678,0.37155,0.39074,0.20037,1.59691,1.77705,0.87837,0.0101121,0.00969543,0.00969543
4,61.6786,1.72408,0.98657,0.89897,0.77461,0.37318,0.41095,0.20439,1.63061,1.07978,0.90754,0.009604,0.009604,0.009604
5,76.3238,1.5981,0.92171,0.8866,0.40613,0.38115,0.43221,0.23182,1.45988,1.0414,0.87148,0.009472,0.009472,0.009472
6,90.8369,1.45564,0.85548,0.86796,0.5716,0.53301,0.54832,0.28216,1.49063,0.8848,0.8595,0.00934,0.00934,0.00934
7,105.338,1.51813,0.85517,0.87412,0.6488,0.54026,0.57216,0.30933,1.40285,0.8617,0.8602,0.009208,0.009208,0.009208
8,120.053,1.37514,0.76947,0.85315,0.67678,0.62222,0.65738,0.37698,1.22822,0.77635,0.83882,0.009076,0.009076,0.009076
9,134.49,1.32796,0.7308,0.84921,0.73028,0.67183,0.7552,0.46344,1.0966,0.70905,0.83494,0.008944,0.008944,0.008944
10,149.041,1.34521,0.75117,0.8539,0.73485,0.70107,0.75929,0.44229,1.27061,0.73587,0.83949,0.008812,0.008812,0.008812
11,163.58,1.27731,0.71098,0.84404,0.71353,0.72752,0.77391,0.45211,1.21852,0.71553,0.84352,0.00868,0.00868,0.00868
12,178.094,1.32142,0.71663,0.84698,0.77516,0.71898,0.80537,0.52947,1.07359,0.63746,0.82868,0.008548,0.008548,0.008548
13,192.67,1.2188,0.663,0.83726,0.76152,0.76305,0.79879,0.49675,1.14191,0.66377,0.82982,0.008416,0.008416,0.008416
14,207.117,1.17038,0.6385,0.83156,0.82539,0.75581,0.83403,0.54853,0.99095,0.59988,0.81885,0.008284,0.008284,0.008284
15,221.672,1.22928,0.65119,0.83522,0.79603,0.75656,0.82374,0.51186,1.0697,0.6134,0.82873,0.008152,0.008152,0.008152
16,236.339,1.16992,0.63221,0.83001,0.79401,0.71819,0.79037,0.49034,1.10571,0.64213,0.8268,0.00802,0.00802,0.00802
17,250.81,1.21288,0.65646,0.83348,0.8222,0.72702,0.82284,0.51754,1.10233,0.6281,0.82303,0.007888,0.007888,0.007888
18,265.331,1.1972,0.63841,0.82987,0.84458,0.77465,0.86122,0.55127,1.01066,0.58397,0.81947,0.007756,0.007756,0.007756
19,279.885,1.13374,0.6014,0.82618,0.81143,0.75873,0.85727,0.5292,1.08748,0.59626,0.82032,0.007624,0.007624,0.007624
20,294.388,1.12717,0.59123,0.8275,0.84468,0.802,0.87954,0.57887,0.9978,0.54301,0.81766,0.007492,0.007492,0.007492
21,308.961,1.13761,0.60385,0.82599,0.85499,0.80917,0.87558,0.5493,1.06408,0.58804,0.82552,0.00736,0.00736,0.00736
22,323.599,1.13712,0.60612,0.82649,0.84212,0.74929,0.84177,0.52533,1.09679,0.59691,0.82002,0.007228,0.007228,0.007228
23,338.24,1.18554,0.60962,0.82929,0.83129,0.82841,0.89385,0.59476,1.00434,0.54417,0.81956,0.007096,0.007096,0.007096
24,352.505,1.12197,0.58391,0.82394,0.83449,0.8232,0.89395,0.5928,0.9693,0.53624,0.81978,0.006964,0.006964,0.006964
25,366.931,1.07498,0.57109,0.82091,0.82581,0.77625,0.83181,0.54854,1.01284,0.57326,0.81593,0.006832,0.006832,0.006832
26,381.512,1.0897,0.5759,0.81975,0.8628,0.82009,0.88842,0.5721,0.95283,0.52991,0.81094,0.0067,0.0067,0.0067
27,396.08,1.09403,0.57345,0.81945,0.88697,0.82485,0.91823,0.59789,0.97167,0.5359,0.81026,0.006568,0.006568,0.006568
28,410.68,1.08646,0.56687,0.81935,0.87598,0.8583,0.92623,0.63431,0.91229,0.51976,0.80926,0.006436,0.006436,0.006436
29,425.242,1.08982,0.5709,0.81918,0.86737,0.83194,0.91045,0.62496,0.89597,0.51061,0.80731,0.006304,0.006304,0.006304
30,439.826,1.07014,0.55868,0.81836,0.80709,0.8106,0.8762,0.60949,0.91668,0.52506,0.80881,0.006172,0.006172,0.006172
31,454.39,1.05096,0.54572,0.81801,0.89302,0.84156,0.91888,0.61936,0.92344,0.51065,0.80859,0.00604,0.00604,0.00604
32,468.969,1.06669,0.54975,0.81507,0.90593,0.85866,0.93121,0.63843,0.9312,0.50846,0.81112,0.005908,0.005908,0.005908
33,483.351,1.08604,0.554,0.81599,0.91083,0.83108,0.93202,0.6531,0.88747,0.48721,0.80524,0.005776,0.005776,0.005776
34,497.718,1.01937,0.52261,0.81187,0.92602,0.84101,0.93415,0.65546,0.86325,0.47204,0.80422,0.005644,0.005644,0.005644
35,512.229,1.06182,0.53828,0.81462,0.87159,0.84944,0.92245,0.61036,0.95831,0.5077,0.80959,0.005512,0.005512,0.005512
36,526.7,1.03205,0.52751,0.81513,0.90754,0.8953,0.94769,0.6619,0.86524,0.47882,0.80334,0.00538,0.00538,0.00538
37,541.319,1.05157,0.53569,0.81227,0.89387,0.83316,0.93359,0.63925,0.9034,0.49567,0.80336,0.005248,0.005248,0.005248
38,555.691,1.0449,0.52723,0.81381,0.90782,0.86365,0.94276,0.65849,0.88241,0.47577,0.80215,0.005116,0.005116,0.005116
39,570.219,1.01159,0.51944,0.8112,0.91417,0.86139,0.94626,0.6684,0.84712,0.45958,0.80239,0.004984,0.004984,0.004984
40,584.811,1.03111,0.52473,0.81308,0.94804,0.87877,0.95829,0.67139,0.8427,0.4581,0.80268,0.004852,0.004852,0.004852
41,599.293,1.01343,0.51928,0.81084,0.84363,0.82,0.90424,0.5999,0.89449,0.49693,0.80782,0.00472,0.00472,0.00472
42,613.715,1.02133,0.51998,0.81187,0.89056,0.88871,0.94476,0.64839,0.87126,0.4707,0.80452,0.004588,0.004588,0.004588
43,628.119,1.01931,0.51679,0.80875,0.92608,0.87825,0.94899,0.66748,0.83596,0.45159,0.80085,0.004456,0.004456,0.004456
44,642.654,1.00719,0.51124,0.80993,0.92094,0.86077,0.94094,0.65721,0.84192,0.46046,0.80132,0.004324,0.004324,0.004324
45,657.245,1.00702,0.50961,0.80847,0.91144,0.88432,0.95288,0.67618,0.85717,0.45843,0.80337,0.004192,0.004192,0.004192
46,671.956,0.99179,0.50134,0.80714,0.94139,0.83447,0.94231,0.66147,0.82604,0.45115,0.80042,0.00406,0.00406,0.00406
